Block Lot	Planning Neighborhood	Best Stat	Best Date	Units	Planning Project Description	DBI Project Description	Zoning_Generalized	Zoning_Simplified	TAZ	Total GSF (Commercial)	Office	Cult, Inst, Educ	Medical	Prod, Dist, Rep	Ret, Ent	Visitor	Planning ID	DBI Permit	Planning Filed	DBI Filed	HEIGHTLIMIT	ZONING	FirstFiled	LANDUSE	EntitlementStatus	Net Added Units	Net Added SF	Net Cult, Inst, Educ	Net Medical	Net Office	Net Prod, Dist, Rep	Net Ret, Ent	Net Visitor	Location 1
5406016	Other S Bayshore	BP Filed	07-Dec-10	1		ERECT 3 STORIES OF 1 DWELLING UNIT.	Residential	RH-1	399	0								201012076279		07-Dec-10	40-X	RH-1	07-Dec-10	Resident	0	1	0							"220 Williams Av
(37.730054899999999, -122.3977232)"
6090004	South Central, Other	BP Filed	07-Oct-10	1		TO ERECT 3 STORIES, SINGLE FAMILY BUILDING.	Residential	RH-1	37	0								201010072487		07-Oct-10	40-X	RH-1	07-Oct-10	Resident	0	1	0							"524 Vienna St
(37.720140999999998, -122.431)"
6581060	Central	BP Filed	17-Dec-10	2		ERECT 4 STORIES OF 2 DWELLING UNIT	Residential	RH-2	460	0								201012176969		17-Dec-10	40-X	RH-2	17-Dec-10	Resident	0	2	0							"4103 Cesar Chavez St
(37.747163100000002, -122.43592219999999)"
6959030	South Central, Other	BP ISSUED	27-Dec-11	1		TO ERECT 2 STORIES, SINGLE FAMILY DWELLING.	Residential	RH-1	48	0								201012106469		10-Dec-10	40-X	RH-1	10-Dec-10	Resident	-1	1	0							"1927 Alemany Bl
(37.720948999999997, -122.438681)"
7114052	Ingleside, Other	BP ISSUED	05-Jul-12	1	Conditional Use request to amend Motion #14958 to enlarge the existing residential care facility by adding a dwelling unit in the form of a one-story vertical addition.  The project also requires a parking variance because the dwelling would not have the 	VERTICAL 1 STORY ADDITION OVER EXISTING 2 STORY. NEW LIVING ROOM, BEDROOM, STUDY, BATHROOM ON NEW 3R	Residential	RH-1	10	3740		3740					2010.0937	201005142433	14-Oct-10	14-May-10	40-X	RH-1	14-May-10	Mixres	-1	1	0	0						"259 Broad Street
(37.712878000000003, -122.46119)"
7135023	Ingleside, Other	BP Filed	05-Nov-10	1		ERECT 3 STORIES, TYPE 5, SINGLE FAMILY DWELLING BUILDING.	Residential	RH-1	16	0								201011054435		05-Nov-10	40-X	RH-1	05-Nov-10	Resident	0	1	0							"216 Head St
(37.711283000000002, -122.46409199999999)"
1279083	Buena Vista	CONSTRUCTION	26-Jul-12	2		ADDITION AT REAR YARD. INTERIOR REMODEL, NEW GARAGE, NEW SECOND DWELLING UNITS.	Residential	RH-2	553	0								201101208741		20-Jan-11	40-X	RH-2	20-Jan-11	Resident	-1	1	0							"31 Parnassus Av
(37.765042600000001, -122.4482922)"
3574008	Mission	BP Filed	18-Feb-11	1		CONVERT WAREHOUSE TO ART STUDIO WITH ACCESSORY DWELLING UNIT. ADD LIVING UNIT ON RAISED PLATFORM AT 	Industrial	PDR-1-G	537	0								201102180558		18-Feb-11	58-X	PDR-1-G	18-Feb-11	Resident	0	1	0							"2138 Folsom St
(37.763074000000003, -122.41544399999999)"
5610029A	Bernal Heights	CONSTRUCTION	02-Dec-11	2		CONVERT EXISTING LOWER FLOOR LIVING SPACE INTO DWELLING UNIT, ADD 1 RATE WALL. DOOR AT INTERIOR STAI	Residential	RH-2	116	0								201103303154		30-Mar-11	40-X	RH-2	30-Mar-11	Resident	-1	1	0							"10 Lundys Ln
(37.745635, -122.417946)"
6656029	Central	BP ISSUED	30-Apr-12	2		RENOVATE GROUND FLOOR INTO A DWELLING UNIT. A HORIONTAL ADDITION @ THE REAR OF 302 SQ FT. INTERIOR R	Residential	RH-2	104	0								201103182398		18-Mar-11	40-X	RH-2	18-Mar-11	Resident	-1	1	0							"1877 Church St
(37.740332000000002, -122.426374)"
6692002	Bernal Heights	BP Filed	20-Jan-11	4		TO CORRECT VIOLATION#201066546 AND TO	Mixed Use	NC-2	88	0								201101208700		20-Jan-11	40-X	NC-2	20-Jan-11	Resident	0	2	0							"3808 Mission St
(37.735720700000002, -122.4246179)"
0665002	Western Addition	PL Approved	06-Jun-11	4	add 1 additional residential unit to a 3-unit 3.5 story building.		Mixed Use	NC-3	330	0							2011.0262		25-Apr-11		130-E	NC-3	25-Apr-11	Resident	-1	1	0							"1551 Franklin St
(37.788964999999997, -122.423985)"
0793026	Market Octavia	PL Filed	16-Mar-11	24	Rear Yard and exposure variance to develop residential units on ground floor		Neighborhood Commercial	HAYES NCT	619	0							2011.0244		16-Mar-11		40-X	HAYES NCT	16-Mar-11	Resident	0	2	0							"471 Fulton St
(37.778472999999998, -122.4245087)"
1237023	Buena Vista	PL Approved	12-May-11	2	Increase units count from 1 to 2 and rear horizontal addition		Residential	RM-2	245	0							2011.0042		18-Jan-11		40-X	RM-2	18-Jan-11	Resident	-1	1	0							"118 Broderick St
(37.771700600000003, -122.43883099999999)"
1732043	Inner Sunset	PL Filed	03-Feb-11		Demolish exiting service station building of approx. 2350 square feet and reconstruct a new building of approx. 3700 square foot building containing a convenience store and automatic car wash. Alterations to the existing pumps and tanks is not proposed. C		Residential	RM-2	222	3700					3700		2011.0099		03-Feb-11		40-X	RM-2	03-Feb-11	Retail/Ent	0		1100					1100		"1759 Lincoln Wy
(37.765199000000003, -122.476889)"
3502111	Market Octavia	PL Filed	20-Jan-11	9	Infill below habitable space within required rear yard to create a new residential unit.		Residential	RTO	242	0							2011.0053		20-Jan-11		40-X	RTO	20-Jan-11	Resident	0	1	0							"25 Elgin Park St
(37.771053999999999, -122.423117)"
3733008	South of Market, Other	PL Filed	14-Jan-11		The project proposes to demolish an existing three-story office building and construct a hotel building with 215-guest bedrooms that would be 93,460 square-feet, and 119-feet tall. 		Commercial	C-3-S	672	93460	0					93460	2011.0038		14-Jan-11		130-L	C-3-S	14-Jan-11	Visitor	0		72660			-20800			93460	"250 4th St
(37.782449, -122.401973)"
5598006	BVHP Area A,B	BP Filed	20-Jan-11	0		TO ERECT 2 STORIES, CAR WASH / COMMERCIAL BUILDING.	Industrial	PDR-2	484	10000				5000	5000			201101208739		20-Jan-11	65-J	PDR-2	20-Jan-11	Mixed	0	0	10000				5000	5000		"367 Bay Shore Bl
(37.741408999999997, -122.405604)"
6505001	Central	PL Approved	06-Oct-11	5	Mandatory discretionary review to remove the 600 sq. ft. ground floor dwelling unit and convert the space to commercial use.		Neighborhood Commercial	24TH-NOE	137	1700					1700		2011.0254		17-Mar-11		40-X	24TH-NOE	17-Mar-11	Mixres	-1	-1	600					600		"4205 24th Street
(37.751009000000003, -122.43655800000001)"
6941002	Balboa Park	BP ISSUED	04-Apr-12	2	Legalize second dwelling unit, without providing required parking.	CONVERT STORAGE TO UNIT ADD NEW UNIT IN REAR LEGALIZE. TO COMPLY W/N.O.V #201082966 DATED: 09/07/10	Residential	RH-2	53	0							2011.0102	201101037758	03-Feb-11	03-Jan-11	40-X	RH-2	03-Jan-11	Resident	-1	1	0							"283 Granada Avenue
(37.723687400000003, -122.4571851)"
7135048	Ingleside, Other	BP Filed	20-Jan-11	1		ERECT 3 STORIES OF 1 DWELLING UNIT.	Residential	RH-1	16	0								201101208732		20-Jan-11	40-X	RH-1	20-Jan-11	Resident	0	1	0							"3501 Alemany Bl
(37.7113941, -122.4636773)"
6506034	Central	CONSTRUCTION	17-Oct-12	5	"Raise existing building 1'-6"" and add new commercial unit and residential unit."	"RAISE (E) BUILDING 1'-6"", ONE (N) COMMERCIAL UNIT AND ONE (N) RESIDENTIAL UNIT ON GROUND FLOOR."	Neighborhood Commercial	24TH-NOE	137	0							2011.0439	201011295711	03-May-11		40-X	24TH-NOE	03-May-11	Resident	-1	1	0							"4159 24th St
(37.751138099999999, -122.43539319999999)"
6706043	Ingleside, Other	CONSTRUCTION	31-Oct-12	1		TO ERECT 3 STORIES SINGLE FAMILY DWELLING.	Residential	RH-1	95	0								201105246662		24-May-11	40-X	RH-1	24-May-11	Resident	-1	1	0							"701 Congo St
(37.735428200000001, -122.4419165)"
8711023	Mission Bay	CONSTRUCTION	29-Nov-12	315		TO ERECT 8 STORIES, 315 UNITS RESIDENTIAL, RETAIL, PARKING BUILDING.	Mixed Use	MB-RA	927	0								201104224606		22-Apr-11	MB-RA	MB-RA	22-Apr-11	Resident	-1	315	0							"185 Channel St
(37.774546399999998, -122.3899246)"
6616010	Central	BP Filed	03-Jun-11	2		CLEAR NOV# 200449296, HIS# 201075560. REPAIR (E) DECK. NEW KITCHEN CABINETS 2ND FLOOR. NEW KITCHEN U	Residential	RH-2	119	0								201106037362		03-Jun-11	40-X	RH-2	03-Jun-11	Resident	0	1	0							"18 Valley St
(37.744985, -122.42275100000001)"
0851012	Market Octavia	PL Approved	23-Sep-11	4	Request for rear yard and exposure variances to add a dwelling unit to an existing three-unit residential building and to add off-street parking to the building.		Residential	RTO	249	0							2011.0484		10-May-11		40-X	RTO	10-May-11	Resident	-1	1	0							"226 - 228 Haight St
(37.772858900000003, -122.426785)"
0973031	Richmond	BP ISSUED	25-Jan-12	1		ERECT 3 STORIES, 1 BASEMENT, SINGLE FAMILY UNIT BUILDING.	Residential	RH-1	337	0								201104013321		01-Apr-11	40-X	RH-1	01-Apr-11	Resident	-1	1	0							"3210 Jackson St
(37.790781099999997, -122.4479479)"
0987033	Richmond	BP ISSUED	22-Feb-12	1		ERECT 3 STORY SINGLE FAMILY DWELLING.	Residential	RH-1	756	0								201104083761		08-Apr-11	40-X	RH-1	08-Apr-11	Resident	-1	1	0							"3650 Washington St
(37.789198900000002, -122.4533754)"
1405045	Richmond	CONSTRUCTION	23-Oct-12	2		CONVERT SINGLE DWELLING UNIT INTO 2 UNITS RESIDENTIAL W/ ADDITION TO REAR OF BUILDING INCLUDING NEW 	Residential	RH-2	674	0								201106238762		23-Jun-11	40-X	RH-2	23-Jun-11	Resident	-1	1	0							"322 29th Av
(37.783219000000003, -122.488927)"
1801040	Outer Sunset	BP Filed	11-Apr-11	2		TO COMPLETE WORK AND OBTAIN FINAL INSPECTION FOR WORK APPROVED UNDER PA#2000/11/17/5117. ADDITIONAL 	Residential	RH-2	206	0								201104113839		11-Apr-11	40-X	RH-2	11-Apr-11	Resident	0	1	0							"1322 47th Av
(37.761848200000003, -122.50696739999999)"
1844045	Inner Sunset	BP Filed	26-May-11	3		CHANGE (E) GAME ROOM TO BE RESIDENTIAL UNIT W/ KITCHEN, LIVING ROOM & BEDROOM, BATHROOM.	Neighborhood Commercial	INNER SUNSET	203	0								201105266939		26-May-11	40-X	INNER SUNSET	26-May-11	Resident	0	1	0							"439 Judah St
(37.762098299999998, -122.4668851)"
3509005	WSoMa	CONSTRUCTION	05-Jul-12	10		Change of Occupancy from retail furniture store to mixed use(Art studio, Art gallery, Congregate living facility and efficiency apartments. Seismic upgrade per 3403.5.- Auto sprinkler system NFPA 13. Partitions, plumbing,mechanical, electrical & finish wo	Industrial	SLR	609	0								201105256770		25-May-11	50-X	SLR	25-May-11	Resident	-1	10	0							"140 09th St
(37.775334999999998, -122.4136225)"
6549031	Central	BP ISSUED	29-Mar-12	2		HORIZONTAL ADDITION. ADD SECOND UNIT (STUDIO APT.). FRONT ADDITION & REMODEL @ 2ND FL. REPLACEMENT O	Residential	RH-2	127	0								201105065540		06-May-11	40-X	RH-2	06-May-11	Resident	-1	1	0							"3977 25th St
(37.749752000000001, -122.428939)"
6604039	Central	BP Filed	17-Nov-11	1		TO ERECT 3 STORIES WITH 1 BASEMENT, SINGLE FAMILY DWELLING.	Residential	RH-1	460	0								201111179087		17-Nov-11	40-X	RH-1	17-Nov-11	Resident	0	1	0							"645 Duncan St
(37.745625699999998, -122.4343332)"
4172034B	Central Waterfront	PL Filed	23-Jun-11	2	Demolition of existing one-story building and new construction of four-story residential-over-commercial building. 		Mixed Use	NCT-2	521	1850					1850		2011.0659		23-Jun-11		45-X	NCT-2	23-Jun-11	Mixres	0	2	0					0		"795 22nd St
(37.757753000000001, -122.388795)"
5535006	Bernal Heights	BP Filed	28-Jun-11	1		ERECT THREE STORY SINGLE FAMILY DWELLING.	Residential	RH-1	126	0								201106289066		28-Jun-11	40-X	RH-1	28-Jun-11	Resident	0	1	0							"354 Mullen Av
(37.745933999999998, -122.406165)"
1435017	Richmond	BP Filed	08-Jul-11	4		EXISTING TWO OFFICE UNITS ON 3RD FL TO BE CONVERTED BACK TO RESIDENTIAL USE. NEW STUD WALLS AS SHOWN	Mixed Use	NC-3	309	0								201107089769		08-Jul-11	40-X	NC-3	08-Jul-11	Resident	0	2	0							"3932 Geary Bl
(37.781447, -122.46167800000001)"
1453013	Richmond	BP Filed	26-Sep-11	2		REMODEL EXISTING 3-STORY SINGLE FAMILY HOUSE & HORIZONAL EXT 3-STORY TO THE REAR PLUS A 4TH FLOOR PE	Residential	RM-1	677	0								201109265437		26-Sep-11	40-X	RM-1	26-Sep-11	Resident	0	1	0							"363 21st Av
(37.781027999999999, -122.480834)"
1933041	Inner Sunset	BP ISSUED	17-Jul-12	2	This proposal is to construct a one-story vertical addition and horizontal additions at the front and rear of the building in zoning district RH-2. A second dwelling unit would also be added to the building and the front facade would be altered.  The proj	CONVERSION OF A SFD TO ADUPLEX. ELECTRICAL & PLUMBING UNDER SEPARATE PERMITS.	Residential	RH-2	530	0							2011.1406	201109164830	15-Dec-11	16-Sep-11	40-X	RH-2	16-Sep-11	Resident	-1	1	0							"1622 11th Av
(37.757883999999997, -122.46770100000001)"
2700056	Central	BP Filed	21-Sep-11	2		ADD NEW DWELLING UNIT. NEW GARAGE @ STREET LEVEL. NEW DORMER & MASTER BEDROOM & BATH. INTERIOR REMOD	Residential	RH-2	199	0								201109215168		21-Sep-11	40-X	RH-2	21-Sep-11	Resident	0	1	0							"55 Caselli Av
(37.759727300000002, -122.4403136)"
2805036	Central	BP Filed	11-Jul-11	2		VERTICAL & HORIZONTAL EXTENSION OF A TWO SROTY SINGLE FAMILY BUILDING TO BECOME THREE STORY, TWO UNI	Residential	RH-2	142	0								201107119929		11-Jul-11	40-X	RH-2	11-Jul-11	Resident	0	1	0							"4267 23rd St
(37.752425000000002, -122.437938)"
4212011	Showpl/Potrero	BP APPROVED	05-Mar-12	2		CONVERT BASEMENT TO LEGAL DWELLING UNIT INCLUDING KITCHEN, LIVING ROOM, 1 BEDROOM, 1 FULL BATH & LAU	Residential	RH-3	148	0								201109215213		21-Sep-11	55-X	RH-3	21-Sep-11	Resident	-1	1	0							"1115 Potrero Av
(37.754035999999999, -122.406083)"
3509043	Downtown	PL Filed	21-Nov-12	180	To demolish existing building and construct a nex mixed-use building of 120 feet in height, 11 stories, with 180 dwelling units, over 4,400 sf ground level commercial and a basement in a C-3-S zoning district. The project would provide one car-share space		Commercial	C-3-S	609	5311					5311		2011.0312		29-Sep-11		120-F	C-3-S	29-Sep-11	Mixres	0	180	-7907					-7907		"1321 Mission Street
(37.775904799999999, -122.41496650000001)"
3755101	WSoMa	BP ISSUED	09-Aug-12	2	Convert the existing 2nd floor tourist hotel to 2 dwelling units without parking.	COMPLIANCE WITH NOV# 201068009 TO CONVERT (E) TOURIST HOTEL TO 2 UNITS @ 2ND FLOOR.	Industrial	SLR	629	0						0	2011.0717	201204128157	07-Jul-11	12-Apr-12	50-X	SLR	07-Jul-11	Resident	-1	2	-3930						-3930	"1123 Folsom St
(37.776088999999999, -122.408244)"
8713001	Mission Bay	BP APPROVED	16-Oct-12	273		TO ERECT 16 STORIES, 273 UNITS APARTMENTS & PARKING BUILDING.	Mixed Use	MB-RA	654	0								201207054130		05-Jul-12	MB-RA	MB-RA	05-Jul-12	Resident	-1	273	0							"1155 04th St
(37.773560400000001, -122.3914595)"
6602010	Central	CONSTRUCTION	15-Nov-12	2	Rear yard and non-complying building variances.	CREATE (N) STUDIO APARTMENT WITH (E) BUILDING FOORPRINT UNDER (E) SINGLE FAMILY RESIDENCE. PROVIDE (	Residential	RH-2	120	0							2011.1405	201109094220	15-Dec-11	09-Sep-11	40-X	RH-2	09-Sep-11	Resident	-1	1	0							"322 28th St
(37.74539, -122.429689)"
0168058	Northeast	PL Approved	19-Jun-12	170	The proposed project would include the temporary removal of the existing Golden Gateway Tennis and Swim Club facility and the new construction of two mixed use buildings and outdoor health club facilities. The new buildings would include 170 residential u		Mixed Use	RC-4	814	32100	1500				30600		2007.003		05-Aug-11		84-E/275-E	RC-4	05-Aug-11	Mixres	-1	170	28140			1500		26640		"8 Washington Street
(37.7965807, -122.3961819)"
0256003	Northeast	PL Approved	10-May-12	24	legalize one story, detached, studio managers unit constructed without permits and located within te required rear yard		Residential	RM-4	761	0							2011.104		07-Sep-11		65-A	RM-4	07-Sep-11	Resident	-1	1	0							"621 Stockton St
(37.791614000000003, -122.40774999999999)"
3833002	Showpl/Potrero	BP ISSUED	07-Sep-12	393		ERECT 6 STORY 393 UNITS RESIDENTIAL & COMMERCIAL BUILDING.	Mixed Use	UMU	651	0								201112070234		07-Dec-11	68-X	UMU	07-Dec-11	Resident	-1	393	0							"1006 16th St
(37.766689900000003, -122.397182)"
4101004	Showpl/Potrero	BP Filed	30-Dec-11	2		ERECT NEW 4 STORY, 1 BASEMENT, TYPE 5, 2 FAMILY DWELLING UNITS BUILDING.	Residential	RH-2	520	0								201112301504		30-Dec-11	40-X	RH-2	30-Dec-11	Resident	0	2	0							"534 Texas St
(37.759583999999997, -122.39525500000001)"
4829007	BVHP Area A,B	BP Filed	08-Dec-11			ERECT 1 STORY, TYPE 5, WAREHOUSE BUILDING.	Industrial	PDR-1-B	388	5000				5000				201112080359		08-Dec-11	40-X	PDR-1-B	08-Dec-11	PDR	0		5000				5000			"1560 Wallace Av
(37.727104400000002, -122.390421)"
7551017	Central	CONSTRUCTION	03-Dec-12	1		TO ERECT A 2-STORY SINGLE FAMILY DWELING UNIT	Residential	RH-1	456	0								201111048333		04-Nov-11	40-X	RH-1	04-Nov-11	Resident	-1	1	0							"2335 Diamond St
(37.738134899999999, -122.4367393)"
1731014	Outer Sunset	CONSTRUCTION	11-Dec-12	2		SIDE ADDITION. ADD PARKING, REAR STAIR, NEW DORMER. INTERIOR REMODEL. REPLACE ALL WALL FINISH, FLOOR	Residential	RM-1	556	0								201201182425		18-Jan-12	40-X	RM-1	18-Jan-12	Resident	-1	1	0							"1269 19th Av
(37.764220199999997, -122.47741980000001)"
1789022	Outer Sunset	BP ISSUED	16-Nov-12	2		ENCLOSE EXISTING SPACE BELOW UPPER FLOOR SUN-ROOM. CONVERT SINGLE FAMILY HOUSE TO TWO LEGAL UNITS.	Residential	RH-2	219	0								201203266878		26-Mar-12	40-X	RH-2	26-Mar-12	Resident	-1	1	0							"1370 35th Av
(37.761547, -122.493853)"
0937028	Marina	BP Filed	13-Apr-12	11	Merge 3 lots and convert it to 4 stories condominium bldg. with 12 units and ground floor commercial.  Demolition of existing bldgs. on 3 lots (including one -1 story commercial/residential house, one - 2 stories bldg. with first floor commercial and seco	MERGE 3 LOTS TO CONVERT TO 4 STORIES CONDO BLDG WITH 11 RESIDENTIAL UNITS, (10)2 BEDROOMS,2 BATH, (1	Mixed Use	NC-3	182	1012					1012		2011.0924	201204138282	17-Jul-12	13-Apr-12	40-X	NC-3	13-Apr-12	Mixres	0	8	-3788					-3788		"2419, 2421 &amp; 2435 Lombard St
(37.798861000000002, -122.441503)"
5253001	Other S Bayshore	BP ISSUED	06-Dec-12	0		TO ERECT 2 STORIES, TYPE 3, WAREHOUSE/OFFICE NEW BUILDING.	Industrial	PDR-1-B	662	7200				7200				201209119461		11-Sep-12	40-X	PDR-1-B	11-Sep-12	PDR	-1	0	3600				3600			"1601 Galvez Av
(37.7406978, -122.3880638)"
0857001A	Market Octavia	BP Filed	05-Sep-12	191		BLDG 2 - ERECT 6 STORY, 2 BASEMENT, 191 DWELLING UNITS, TYPE 1A, NEW BUILDING. (AKA: 68, 88 HERMAN STREET AND 155 LAGUNA STREET).	Public	P	531	0							2004.0773	201209059006		05-Sep-12	40-X	P	05-Sep-12	Resident	0	191	0							"218 Buchanan St
(37.772350000000003, -122.42627899999999)"
1065026A	Richmond	PL Filed	06-Mar-12	4	Converting a storage to residential		Mixed Use	NC-3	686	0							2012.0234		06-Mar-12		40-X	NC-3	06-Mar-12	Resident	0	1	0							"190 Parker Av
(37.781916899999999, -122.4542067)"
1893038	Outer Sunset	BP ISSUED	10-Oct-12	1		ERECT 2 STORIES, TYPE 5, 1 DWELLING UNIT FRONT BUILDING.	Residential	RH-2	182	0								201201112070		11-Jan-12	40-X	RH-2	11-Jan-12	Resident	-1	1	0							"1530 48th Av
(37.757852200000002, -122.50778)"
2688072	Central	PL Filed	19-Feb-12	2	Lot line adjustment to divide one 7,500 sq.ft. lot into a 4,000 sq.ft. and 3,000 sq.ft. lot. Vertical and Horizontal Addition to existing single family residence of 1,300sf, resulting in a 4,200 sf single-family residence. New construction of a 4,000 sf s		Residential	RH-1(D)	195	0							2009.0156		19-Feb-12		40-X	RH-1(D)	19-Feb-12	Resident	0	1	0							"89 Belgrave Av
(37.759360999999998, -122.44971700000001)"
2716033	Central	PL Filed	11-Jun-12	1	Convert vacant lot to a 3 story over garage/basement single family home	ERECT 3-STORY NEW BUILDING TYPE V SINGLE FAMILY RESIDENCE.	Residential	RH-1(S)	178	0							2012.0733	201203276943	11-Jun-12	27-Mar-12	40-X	RH-1(S)	27-Mar-12	Resident	0	1	0							"135 Yukon St
(37.757356999999999, -122.442274)"
3261002	Ingleside, Other	BP Filed	05-Mar-12	1		ERECT THREE STORY SINGLE FAMILY HOUSE.	Residential	RH-1(D)	392	0								201203055412		05-Mar-12	40-X	RH-1(D)	05-Mar-12	Resident	0	1	0							"10 Aptos Av
(37.731603, -122.466341)"
3741031	South of Market, Other	PL Filed	13-Jan-12	186	Proposes to demolish the existing 8 -story parking garage (containing 550 parking spaces). The project would construct a residential bldg. containing 175 residential units and a below-grade parking garage. The parking garage would contain accessory parkin		Commercial	C-3-O(SD)	762	17900					17900		2011.1122		13-Jan-12		200-S	C-3-O(SD)	13-Jan-12	Mixres	0	186	17900					17900		"75 Howard St
(37.791558000000002, -122.391672)"
5634014	Bernal Heights	BP Filed	17-Feb-12	2		ERECT 3 STORIES OF 2 DWELLING UNITS .TYPE 5 BUILDING.	Residential	RH-2	114	0								201202174464		17-Feb-12	40-X	RH-2	17-Feb-12	Resident	0	2	0							"639 Peralta Av
(37.742418000000001, -122.408939)"
5350042	Other S Bayshore	PL Approved			Construction of a new warehouse on an empty lot.		Industrial	PDR-2	409	2240				2240			2012.023		06-Mar-12		65-J	PDR-2	06-Mar-12	PDR	-1		2240				2240			"2243 Shafter Av
(37.737513999999997, -122.40267299999999)"
5683012	Bernal Heights	BP Filed	14-Mar-12	2		ERECT 3 STORIES OF 2 DWELLING UNITS.	Mixed Use	NC-2	100	0								201203146037		14-Mar-12	40-X	NC-2	14-Mar-12	Resident	0	2	0							"906 Cortland Av
(37.738855899999997, -122.413614)"
6428001	South Central, Other	BP Filed	24-Jan-12	2		ERECT THREE STORY TWO FAMILY DWELLING RESIDENTIAL BUILDING.	Residential	RH-2	877	0								201201242770		24-Jan-12	40-X	RH-2	24-Jan-12	Resident	0	2	0							"520 Carter St
(37.709048699999997, -122.4234888)"
6428007	South Central, Other	BP Filed	24-Jan-12	2		ERECT THREE STORY TWO FAMILY DWELLING RESIDENTIAL BUILDING.	Residential	RH-2	877	0								201201242773		24-Jan-12	40-X	RH-2	24-Jan-12	Resident	0	2	0							"103 Walbridge St
(37.709145100000001, -122.42381810000001)"
6633020	Central	PL Approved	18-Oct-12	2	Variance request to the rear yard requirement by way of alteration of the primary unit and to convert a detached unit to habitable space.  		Mixed Use	NC-1	107	0							2012.035		15-Mar-12		40-X	NC-1	15-Mar-12	Resident	-1	1	0							"1721 Church St
(37.743380700000003, -122.426625)"
6634026	Central	PL Filed	27-Nov-12	2	Demo existing building and construct 4-story, 2-unit residential building	ERECT 4 STORIES OF 2 DWELLING UNITS.TYPE 5 CONSTRUCTION	Residential	RH-3	107	0					0		2012.1451	201203125903	27-Nov-12	12-Mar-12	40-X	RH-3	12-Mar-12	Resident	0	2	-1410					-1410		"149 29th St
(37.743817900000003, -122.4234349)"
7552003	Central	CONSTRUCTION	12-Dec-12	1	To convert a vacant lot into a three-story over garage single family home	ERECT 3 STORIES OF 1 DWELLING UNIT FOR TYPE 5 CONSTRUCTION.	Residential	RH-1	456	0							2012.0727	201202295093	07-Jun-12	29-Feb-12	40-X	RH-1	29-Feb-12	Resident	-1	1	0							"30 Conrad St
(37.737845, -122.436477)"
0473008	Marina	BP Filed	26-Mar-12	3		REAR GROUND FLOOR ADDITION. TO ACCOMODATE NEW GROUND FLOOR UNIT.RENOVATION OF 2ND & 3RD FLOOR UNITS.	Residential	RH-3	383	0								201203266873		26-Mar-12	40-X	RH-3	26-Mar-12	Resident	0	1	0							"1326 Francisco St
(37.803001199999997, -122.4270973)"
0665012	Western Addition	BP Filed	02-Mar-12	1	Re-establish the building from its current Commercial to its original residential use.	CHANGE OFFICE USE OF BUILDING TO RESIDENTIAL USE. AT 1ST FLR: ADD RANGE TO CREATE RESIDENTIAL KITCHE	Residential	RH-3	330	0	0						2012.0185	201203025301	28-Feb-12	02-Mar-12	80-A	RH-3	28-Feb-12	Resident	-1	1	-2498			-2498				"1636 Bush St
(37.788303599999999, -122.4243323)"
3576039	Mission	BP Filed	17-Feb-12	3		CREATE A 620 SQ FT 3RD UNIT AT 1ST FLOOR INCLUSIVE OF A 1 STORY ADDITION OF 130 SQ FT WITH ROOF DECK	Residential	RTO	205	0								201202174465		17-Feb-12	45-X	RTO-Mission	17-Feb-12	Resident	0	1	0							"35 Lexington St
(37.762200999999997, -122.421077)"
3732150	East SoMa	BP ISSUED	27-Aug-12	182		SHORING DURING CONSTRUCTION EXCAVATION. NEW CONSTRUCTION UNDER SEPARATE APPLN #201106017202	Mixed Use	MUR	628	0								201203196326		19-Mar-12	85-X	MUR	19-Mar-12	Resident	-1	182	0							"240 05th St
(37.780956799999998, -122.4042771)"
4271034	Mission	BP ISSUED	03-Dec-12	2	Variance to legalize second unit within primary structure with an addition parallel to existing encroachment.  Variance of the Open Space requirement (PC Sec 135), Exposure (PC Sec 140) and Rear Yard requirement (PC Sec 134).	CREATE LEGAL GROUND FLOOR SECOND UNIT. WORK TO INCLUDE (N) MECHANICAL (FURNACE), (N) LIGHTING & PLUM	Residential	RH-2	134	0							2012.0463	201203287050	05-Apr-12	28-Mar-12	40-X	RH-2	28-Mar-12	Resident	-1	1	0							"2923 Harrison St
(37.750656900000003, -122.411393)"
5297023	BVHP Area A,B	BP ISSUED	19-Oct-12	2		AT 1ST LEVEL, CONVERT (E) SPACE TO 2ND UNIT WITH NEW LIVING ROOM, BEDROOM, BATH & KITCHEN.	Residential	RH-2	407	0								201201061838		06-Jan-12	40-X	RH-2	06-Jan-12	Resident	-1	1	0							"1786 Mckinnon Av
(37.738022999999998, -122.392509)"
6656005	Central	BP ISSUED	13-Aug-12	2		Comply with complaint #200998287 & 201280554, No n.o.v. to legalize 2nd. unit @ ground floor.	Residential	RH-2	104	0								201202073751		07-Feb-12	40-X	RH-2	07-Feb-12	Resident	-1	1	0							"26 Chenery St
(37.741453999999997, -122.42604799999999)"
0141008	Northeast	PL Approved	05-Nov-12	2	Vertical addition with two new residental units		Commercial	C-2	826	7786	7786						2012.0158		29-Feb-12		65-X	C-2	29-Feb-12	Mixres	-1	2	-1108			-1108				"850 Battery St
(37.7994579, -122.4011063)"
