PROJECT_TYPE	BLKLOT	NAMEADDR	ENTITLED	BESTSTAT	BESTDATE	UNITS	UNITSNET	AFFORDABLE	AFFORDABLE_NET	SECTION415	AFF_TARGET	TENURE_TYPE	CASENO	DESCRIPT	DBIDESC	TOTAL_GSF	NET_GSF	CIE_EXIST	CIE	CIENET	MED_EXIST	MED	MEDNET	MIPS_EXIST	MIPS	MIPSNET	PDR_EXIST	PDR	PDRNET	RET_EXIST	RET	RETNET	RESTAURANT	RESTAURANT_NET	VISIT_EXIST	VISIT	VISITNET	HOTEL_ROOM_EXIST	HOTEL_ROOM	HOTEL_ROOM_NET	PLANNER	SPONSOR	CONTACT	CONTACTPH	YEAR_	QTR	YEAR_QTR	PD	SD	PLANAREA	PDA	Location 1
Mixed	4224045	900 PENNSYLVANIA AV	TRUE	BP ISSUED	01/11/2017 12:00:00 AM	0	0	0	0				2015-015378PRJ	Expansion of food distribution capacity by building additional warehouse and office space. The work includes: converting some existing office space for warehouse use; adding warehouse and office spaces in a new addition attached to the existing building.	INSTALLATION OF 2 PORTABLE (MODULAR) (POD) UNITS AT AN EXISTING PATIO SPACE. N/A MAHER ORDINANCE	101657	47471	0	0	0	0	0	0	10341	32740	22399	43845	68917	25072	0	0	0	0	0	0	0	0	0	0	0	SIROISDA	SF-Marin Food Bank		4152821900	2017	Q4	2017_Q4	9 - South of Market	10	Showplace Square/Potrero Hill (EN)	Eastern Neighborhoods	(37.75435590240, -122.39381491300)
Mixres	3949001	901 16TH ST	TRUE	PL APPROVED	05/12/2016 12:00:00 AM	395	395	42	42	On-site BMR Project; Fee Payment		Rental	2011	The proposed project will demolish metal warehouses and temporary office buildings; preserve and rehabilitate brick office building; lot line adjustment to create two lots, construct approximately 200 residential units in 4-story building on 17th Street;		24468	-85032	0	0	0	0	0	0	0	0	-4500	0	0	-105000	0	24468	24468	0	0	0	0	0	0	0	0	WWIETGRE	Attn: Indrajit Obeysekere	Jay Murphy	415-833-1231	2017	Q4	2017_Q4	9 - South of Market	10	Showplace Square/Potrero Hill (EN)	Eastern Neighborhoods	(37.76612470960, -122.39547306200)
CIE	5402072	901 BAY SHORE BL	FALSE	BP FILED	10/17/2016 12:00:00 AM	0	0	0	0						CHANGE OF USE. CONVERT VACANT OFFICES TO CHILDCARE FACILITY.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					2017	Q4	2017_Q4	10 - South Bayshore	10	Bayview Hunters Point	Bayview/Hunters Point Shipyard/Candlestick Point	(37.73263312810, -122.40421218200)
Resident	4108017	901 TENNESSEE ST	TRUE	CONSTRUCTION	12/15/2017 12:00:00 AM	44	44	6	6	On-site BMR Project	55% AMI;	Ownership	2013	The proposed project would include demolition of an existing one-story warehouse and construction of a new four-story, residential building.  The building shall consist of four residential levels with 39 units, over basement level with parking and mechan	"TO ERECT A TYPE 5, 4 STORIES, 1 BASEMENT, 44 RESIDENTIAL UNIT BUILDING.
** MAHER: DISTURBANCE OF AT LEAST 50 CU.YD OF SOIL; ROUTE TO DPH **"	0	-9000	0	0	0	0	0	0	0	0	0	0	0	-9000	0	0	0	0	0	0	0	0	0	0	0	RSUCRE	William Mollard	William Mollard	409-9267	2017	Q4	2017_Q4	9 - South of Market	10	Central Waterfront (EN); Dogpatch Public Realm Plan	Eastern Neighborhoods	(37.76022721200, -122.38915380900)
Mixres	6518027	905 CAPP ST	FALSE	BP FILED	06/10/2016 12:00:00 AM	13	1	0	0				2016-008716PRJ	PROPOSES TO ADD AN ACCESSORY DWELLING UNIT WITHIN THE (E) BLDG ENVELOPE ON THE 1ST FL W/ A (N) BATHROOM, KITCHEN & LIVING SPACE	PROPOSES TO ADD AN ACCESSORY DWELLING UNIT WITHIN THE (E) BLDG ENVELOPE ON THE 1ST FL W/ A (N) BATHROOM, KITCHEN & LIVING SPACE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SADINA	GTL Architects		4153617641	2017	Q4	2017_Q4	8 - Mission	9	Mission (EN); Mission District Streetscape Plan	Eastern Neighborhoods	(37.75213638570, -122.41712711800)
Resident	6410010	905 GENEVA AV	TRUE	BP ISSUED	11/16/2017 12:00:00 AM	4	4	0	0				2015-009578PRJ	CHANGE OF USE: (E) THERAPY MASSAGE CENTER - 2ND FL (PERSONAL SERVICES). CHANGE TO (4) APARTMENT UNITS ON 2ND FL. (N) GARDEN ROOF DECK & (N) STAIRS TO ROOF. N/A FOR MAHER ORDINANCE.	CHANGE OF USE: (E) THERAPY MASSAGE CENTER - 2ND FL (PERSONAL SERVICES). CHANGE TO (4) APARTMENT UNITS ON 2ND FL. (N) GARDEN ROOF DECK & (N) STAIRS TO ROOF. N/A FOR MAHER ORDINANCE.	0	-3878	0	0	0	0	0	0	0	0	-3878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TKENNEDY		HAWK LING & KETTY FONG LOU REVOC		2017	Q4	2017_Q4	12 - South Central	11		Mission-San Jose Corridor	(37.71646399510, -122.44065860300)
Mixres	5683012	906 CORTLAND AV	TRUE	CONSTRUCTION	09/27/2017 12:00:00 AM	2	2	0	0				2012	2 lot Subdivision, demolition of existing two-story commercial building damaged by fire, and construction of a three-story mixed-use building with a commercial storefront and accessory parking at the ground floor, two dwelling units at the second and thi	ERECT 3 STORIES OF 2 DWELLING UNITS.	150	-690	0	0	0	0	0	0	0	0	0	0	0	0	840	150	-690	0	0	0	0	0	0	0	0	DVU				2017	Q4	2017_Q4	11 - Bernal Heights	9		Rest of the City	(37.73877309260, -122.41361360400)
Resident	149010	908 BROADWAY	FALSE	PL FILED	04/17/2014 12:00:00 AM	6	5	0	0				2013	To demolish the existing group housing (2 story over basement) and construct a new building to contain 6 new residential condominium units, with 6 ancillary parking spaces (4 story over basement garage).  The intent is to adjust the current lot dimension		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	KUCHIDA	Adam McNicol	Adam McNicol	650-888-7218	2017	Q4	2017_Q4	3 - Northeast	3		Downtown-Van Ness-Geary	(37.79735752090, -122.41249913800)
Resident	4160003	910 CAROLINA ST	TRUE	BP REINSTATED	01/15/2016 12:00:00 AM	2	2	0	0				2013	Demo existing house and build 2 new units	TO ERECT NEW 3-STORY OVER 1 BASEMENT, SINGLE FAMILY RESIDENTIAL BLDG.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EJACKSON				2017	Q4	2017_Q4	9 - South of Market	10	Showplace Square/Potrero Hill (EN)	Eastern Neighborhoods	(37.75695891210, -122.40019065900)
Resident	3510058	915 - 935 MINNA ST	TRUE	BP ISSUED	11/08/2017 12:00:00 AM	44	44	6	6	On-site BMR Project		Rental	2015-002600PRJ	"Proposed new construction of a residential building (4 stories above ground).

The PPA was submitted on 3/2/15 and the 90 day deadline is 5/31/2015."	"TO ERECT 4 STORIES, 1 BASEMENT, 44 UNITS RESIDENTIAL APARTMENT BUILDING.
** MAHER: DISTURBANCE OF AT LEAST 50 CU. YD. OF SOIL. ADDENDUM TO BE ROUTED TO DPH **."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DVU	Equity Community Builders		4156516200	2017	Q4	2017_Q4	4 - Downtown	6	Western SoMa (EN)	Eastern Neighborhoods	(37.77428673080, -122.41579957400)
Resident	3510058	915 - 935 MINNA ST	TRUE	BP ISSUED	11/08/2017 12:00:00 AM	6	6	6	6	On-site BMR Project	55% AMI;	Rental	2015-002600PRJ	"Proposed new construction of a residential building (4 stories above ground).

The PPA was submitted on 3/2/15 and the 90 day deadline is 5/31/2015."	"TO ERECT 4 STORIES, NO BASEMENT, TYPE VA, 6 UNITS MULTI-FAMILY RESIDENTIAL BUILDING.
** MAHER: N/A **"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DVU	Equity Community Builders		4156516200	2017	Q4	2017_Q4	4 - Downtown	6	Western SoMa (EN)	Eastern Neighborhoods	(37.77428673080, -122.41579957400)
Resident	6954039	915 CAYUGA AV	FALSE	PL FILED	01/31/2017 12:00:00 AM	103	103	0	0				2016-013850PRJ	"Proposed new construction of 103 residential units ( 21 studios, 13 one-bedroom units, 61 two-bedroom units & 8 three-bedroom units)

The PPA was submitted on 10/24/16 and the 90 day deadline is 1/22/17."		0	-32450	0	0	0	0	0	0	0	0	0	0	0	0	32450	0	-32450	0	0	0	0	0	0	0	0		SIA Consulting Corp.	Reza Khoshnevisan	415-922-0200	2017	Q4	2017_Q4	12 - South Central	11		Mission-San Jose Corridor	(37.72289176110, -122.43844631200)
Resident	453002	915 NORTH POINT	FALSE	PL FILED	12/21/2017 12:00:00 AM	37	37	0	0				2017-000280PRJ	The project site is on an L shaped lot facing North Point Street on the north side and Larkin Street on the east side. The project site is currently being used as a two story parking garage. The proposed project consists of the replacement of the parking		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					2017	Q4	2017_Q4	3 - Northeast	2	FishermanΓÇÖs Wharf Public Realm Plan; Northeast Waterfront	Downtown-Van Ness-Geary	(37.80514703430, -122.42235104800)
Resident	1149004	917 CENTRAL AV	FALSE	BP FILED	12/23/2015 12:00:00 AM	2	1	0	0						ADD PARTIAL 4TH FLR. VERTICAL ADDITION & REAR HORIZONTAL ADDITION @ 2ND/3RD FL. INTERNIOR REMODEL OF (E) KITCHEN & BATHROOMS, LEGALIZE (E) UNIT @ 1ST FLR, WIDEN (E) DRIVEWAY. SEIMIC UPGRADE, REPLACE (E) WINDOWS WITH MARVIN WOOD CLAD, (N) EXT. TRIM & SIDI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FARRENSW				2017	Q4	2017_Q4	5 - Western Addition	5		Rest of the City	(37.77841751160, -122.44557194900)
Resident	194013	918 GRANT AV	FALSE	BP FILED	09/29/2016 12:00:00 AM	2	1	0	0						T.I OF AN (E) MIXED-USED STRUCTURE WITH NO CHANGE TO (E) AREA & USE. ADD ONE NEW DWELLING UNIT WITH (E) BUILDING ENVELOPE. REPLACE ALL WINDOWS IN KIND EXCEPT GROUND FLOOR. PROVIDE LIMITED BARRIER FREE IMPROVEMENT, RENOVATE ALL RESTROOMS, CORRECT MEANS OF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	APERRY				2017	Q4	2017_Q4	3 - Northeast	3	Chinatown	Downtown-Van Ness-Geary	(37.79545860580, -122.40640735300)
Mixres	3732100	921 HOWARD ST	FALSE	PL FILED	03/29/2017 12:00:00 AM	205	205	205	205				2017-000275PRJ	The proposed project includes construction of a new 180' High-Rise, eighteen story, mixed-use residential tower and podium containing approximately 205 residential units. Off-street parking will be located at the ground floor with access from Tehama St.		4999	-14869	0	0	0	0	0	0	0	0	0	0	0	0	19868	4999	-14869	0	0	0	0	0	0	0	0		5th and Howard Associates, L.P.		4153583921	2017	Q4	2017_Q4	9 - South of Market	6	East SoMa (EN); Central SoMa	Eastern Neighborhoods	(37.78083274620, -122.40516599700)
Resident	4094046	923 - 939 KANSAS ST	FALSE	BP FILED	07/02/2014 12:00:00 AM	2	2	0	0				2013	The project would construct five buildings (totaling 33, 200 sf) containing nine dwelling units (two each at lots 045-048, one at lot 044) and ten parking spaces on a 12,500-square-foot vacant lot. The proposed building would be three to five stories and	ERECT 4-STORY, 2 DWELLING UNITS WITH 1 BASEMENT RESIDENTIAL BUILDING.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	JSPEIRS				2017	Q4	2017_Q4	9 - South of Market	10	Showplace Square/Potrero Hill (EN)	Eastern Neighborhoods	(37.75796394020, -122.40257662300)
Resident	4094047	923 - 939 KANSAS ST	FALSE	BP FILED	07/02/2014 12:00:00 AM	2	2	0	0				2013	The project would construct five buildings (totaling 33, 200 sf) containing nine dwelling units (two each at lots 045-048, one at lot 044) and ten parking spaces on a 12,500-square-foot vacant lot. The proposed building would be three to five stories and	ERECT 5-STORY, 2 DWELLING UNITS WITH 1 BASEMENT RESIDENTIAL BUILDING.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	JSPEIRS				2017	Q4	2017_Q4	9 - South of Market	10	Showplace Square/Potrero Hill (EN)	Eastern Neighborhoods	(37.75803239940, -122.40258320100)
Resident	4094045	923 - 939 KANSAS ST	FALSE	BP FILED	07/02/2014 12:00:00 AM	2	2	0	0				2013	The project would construct five buildings (totaling 33, 200 sf) containing nine dwelling units (two each at lots 045-048, one at lot 044) and ten parking spaces on a 12,500-square-foot vacant lot. The proposed building would be three to five stories and	ERECT 4-STORY, 2 DWELLING UNITS WITH 1 BASEMENT RESIDENTIAL BUILDING.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	JSPEIRS				2017	Q4	2017_Q4	9 - South of Market	10	Showplace Square/Potrero Hill (EN)	Eastern Neighborhoods	(37.75789548000, -122.40257004600)
Resident	4094048	923 - 939 KANSAS ST	FALSE	BP FILED	07/02/2014 12:00:00 AM	2	2	0	0				2013	The project would construct five buildings (totaling 33, 200 sf) containing nine dwelling units (two each at lots 045-048, one at lot 044) and ten parking spaces on a 12,500-square-foot vacant lot. The proposed building would be three to five stories and	ERECT 5-STORY, 2 DWELLING UNITS WITH 1 BASEMENT RESIDENTIAL BUILDING.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	JSPEIRS				2017	Q4	2017_Q4	9 - South of Market	10	Showplace Square/Potrero Hill (EN)	Eastern Neighborhoods	(37.75809932630, -122.40258963100)
Resident	4094044	923 - 939 KANSAS ST	FALSE	BP FILED	07/02/2014 12:00:00 AM	1	1	0	0				2013	The project would construct five buildings (totaling 33, 200 sf) containing nine dwelling units (two each at lots 045-048, one at lot 044) and ten parking spaces on a 12,500-square-foot vacant lot. The proposed building would be three to five stories and	ERECT 3-STORY, 1 DWELLING UNIT WITH 1 BASEMENT RESIDENTIAL BUILDING.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	JSPEIRS				2017	Q4	2017_Q4	9 - South of Market	10	Showplace Square/Potrero Hill (EN)	Eastern Neighborhoods	(37.75782702070, -122.40256346800)
Resident	3617061	925 GUERRERO ST	FALSE	BP FILED	12/14/2016 12:00:00 AM	14	2	0	0				2016-016578PRJ	ADV PROGRAM IN MANDATORY SEISMIC RETROFIT BLDG PER ORD. 162-16. PROPOSE 2 ADD'L DWG UNITS ON BASEMENT LEVEL AT REAR OF BLDG. REPLACE (E)WINDOWS AT REAR OF BLDG, ADD BATHROOM & KITCHENS, REMODEL OF DOORS & FINISHES	ADV PROGRAM IN MANDATORY SEISMIC RETROFIT BLDG PER ORD. 162-16. PROPOSE 2 ADD'L DWG UNITS ON BASEMENT LEVEL AT REAR OF BLDG. REPLACE (E)WINDOWS AT REAR OF BLDG, ADD BATHROOM & KITCHENS, REMODEL OF DOORS & FINISHES	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	KCONNER	CRAIG P GOARD TRUST TRUST	CRAIG P GOARD TRUST		2017	Q4	2017_Q4	8 - Mission	8	Mission (EN); Mission District Streetscape Plan	Eastern Neighborhoods	(37.75635286600, -122.42297856200)
Resident	6539024	929 DIAMOND ST	FALSE	BP FILED	03/30/2016 12:00:00 AM	2	1	0	0						ADDING GARAGE; CREATING FIRST FLOOR UNIT, INCLUNDING 2 BED/BATH, LIVING + KITCHEN. ENLARGING/RENOVATING UNIT ON SECOND & THIRD FLOORS. ADDING KITCHEN AND BATH.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FLORESVE				2017	Q4	2017_Q4	7 - Central	8		Rest of the City	(37.74994181670, -122.43584751900)
Resident	822036	929 HAYES ST	TRUE	BP ISSUED	10/12/2017 12:00:00 AM	3	1	0	0						ADDITION OF NEW UNIT. CONVERT 1646 SQ FT OF STORAGE TO NEW 1646 SQ FT UNIT. NEW 99 SQ FT PATIO. FLOO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					2017	Q4	2017_Q4	5 - Western Addition	5		Rest of the City	(37.77548736080, -122.43166751000)
Resident	1118003	930 BAKER ST	TRUE	BP ISSUED	08/25/2017 12:00:00 AM	4	2	0	0				2014	Section 134 rear yard variance for placement of garage in rear yard fronting St. Joseph's. Add to new units to existing 2 unit building	HORIZONTL EXPANSION. ADDITION OF 2 UNITS BELOW (E) STRUCTURE & EXPANSION RECONFIGURE INTERIOR LAYOUTS, NEW WINDOWS & DOORS ATFACADE, NEW ELECTRIAL, NEW PLUMBING, NEW ROOF DECK, LANDSCAPING, NEW GARAGE STRUCTURE @ ST JOESPH'S AVE SIDE. Arch/MEP/Sprinklers	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SLAI	Ernie Selander	Ernie Selander	415-385-4339	2017	Q4	2017_Q4	5 - Western Addition	2		Downtown-Van Ness-Geary	(37.77989748740, -122.44140055500)
Resident	2329008	938 SANTIAGO ST	FALSE	BP FILED	10/24/2014 12:00:00 AM	2	1	0	0						BUILDING ADDITION, CONVERT SINGLE FAMILY DWELLING TO DUPLEX, ADD LIVINGROOM, BEDROOM, BATHROOM & KITCHEN ON BASEMENT; ADD 3 BEDROOMS, 2 BATHROOM, ON 2ND FL PER PLAN.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TKENNEDY				2017	Q4	2017_Q4	15 - Outer Sunset	4		Rest of the City	(37.74508531630, -122.47761692900)
Mixed	0136004A	940 BATTERY ST	FALSE	PL FILED	07/06/2016 12:00:00 AM	0	0	0	0				2015-001033PRJ	Renovation and addition of existing 1917 warehouse to Museum, Retail and Office  uses.  Renovation will include new structural and other building systems.		36000	7000	0	24000	24000	0	0	0	0	12000	12000	0	0	-29000	0	0	0	0	0	0	0	0	0	0	0		Museo Italo Americano		4156732200	2017	Q4	2017_Q4	3 - Northeast	3	Northeast Waterfront	Downtown-Van Ness-Geary	(37.80009506930, -122.40099502200)
Resident	4143029	943 YORK ST	FALSE	BP FILED	08/07/2015 12:00:00 AM	2	1	0	0				2015-011442PRJ	2 STORY ADDITION (2ND UNIT)2800 SF. 3RD LEVEL=1380 SF, 4TH LEVEL 1420 SF. 6 BEDROOMS. DECK & STAIRS. (200 SF). ROOF DECK 420 SF. NEW ENTRY AND INTERIOR STAIRS.	2 STORY ADDITION (2ND UNIT)2800 SF. 3RD LEVEL=1380 SF, 4TH LEVEL 1420 SF. 6 BEDROOMS. DECK & STAIRS. (200 SF). ROOF DECK 420 SF. NEW ENTRY AND INTERIOR STAIRS.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	JIMENEZS		SANDBERG REED N		2017	Q4	2017_Q4	8 - Mission	9	Mission (EN); Mission District Streetscape Plan	Eastern Neighborhoods	(37.75693593210, -122.40830593600)
Resident	4653016	947 INNES AV	TRUE	BP ISSUED	04/20/2017 12:00:00 AM	2	1	0	0				2015-018217PRJ	(PER ORDINANCE 146-15) LEGALIZE (E) KITCHEN TO ADD (1)(N) RESIDENTIAL UNIT UNDER UNIT LEGALIZATION PROGRAM. LEGALIZE (E) GARAGE TO LIVING SPACE PER PLAN. COMPLY WITH NOV #201569124, #201569691, #201567914	(PER ORDINANCE 146-15) LEGALIZE (E) KITCHEN TO ADD (1)(N) RESIDENTIAL UNIT UNDER UNIT LEGALIZATION PROGRAM. LEGALIZE (E) GARAGE TO LIVING SPACE PER PLAN. COMPLY WITH NOV #201569124, #201569691, #201567914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	YEUNGMIN	WU XAIOQU	WU XAIOQU		2017	Q4	2017_Q4	10 - South Bayshore	10	Bayview Hunters Point	Bayview/Hunters Point Shipyard/Candlestick Point	(37.73230599630, -122.37683830500)
Resident	6405006	948 NAPLES ST	FALSE	BP Filed	06/27/2017 12:00:00 AM	2	1	0	0						BASEMENT ADD 1 UNIT @ GROUND FLOOR PER ODINANCE# 162-16. 2 BEDROOMS & 2 BATHROOMS.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					2017	Q4	2017_Q4	12 - South Central	11		Rest of the City	(37.71489892300, -122.43602599300)
Mixres	3735012	95 HAWTHORNE ST	FALSE	PL FILED	09/28/2016 12:00:00 AM	330	330	0	0				2016-001794PRJ	The project proposes to demolish the existing non-historic office building and construct a new 32 story above ground building featuring residential units and amenities above approximately 8,000 square feet of ground floor retail. The Project proposes 330		4026	-80349	0	0	0	0	0	0	0	0	-84375	0	0	0	0	4026	4026	0	0	0	0	0	0	0	0	VBYRD	Trammell Crow Residential		4153813001	2017	Q4	2017_Q4	9 - South of Market	6	Downtown; Transit Center District; Transit Center District Streetscape Plan; Downtown Streetscape Plan	Transit Center District	(37.78505019320, -122.39789821100)
Resident	6651008A	95 LAIDLEY ST	FALSE	BP FILED	03/13/2017 12:00:00 AM	2	1	0	0						ADU PER ORD #162-16. PROPOSED ACCESSORY DWELLING UNIT ADDED TO A PORTION OF THE (E) BASEMENT AREA. PROPOSE FOUNDATION IMPROVEMENTS TO ACCOMODATE THE ADU WERE APPROVED UNDER A SEPARATE PERMIT. THE PROPOSED ADU IS A (1)BEDROOM UNIT, INCLUDING KITCHEN & A L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					2017	Q4	2017_Q4	7 - Central	8		Rest of the City	(37.74069294260, -122.43091951200)
Resident	6763001	95 NORDHOFF ST	FALSE	PL FILED	10/10/2014 12:00:00 AM	4	3	0	0				2014	Demolish an existing single-family home, subdivide parcel into four parcels, and construct four three-story single-family homes.		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MBOURDRE	Anthony Pantaleoni	Tony Pantaleoni	415-495-4051	2017	Q4	2017_Q4	13 - Ingleside	8		Rest of the City	(37.73425440080, -122.44133270100)
Mixres	342001	950 - 974 MARKET ST	TRUE	BP ISSUED	12/14/2017 12:00:00 AM	242	242	0	0	Land Dedication			2013	The proposed project is the demolition of five (5) existing structures and new construction of a mixed-use arts, education, residential, hotel, and retail complex, with approximately 198 below-grade parking spaces.  The proposed project includes approxim	AT BLOCK 0342, LOT 001 & 014. ERECT 12-STORY, TYPE 1, 2 BASEMENT, 470 UNITS, CONDO, HOTEL, RETAIL BUILDING.	229000	169834	0	0	0	0	0	0	0	24000	24000	0	0	0	0	15000	-6321	0	0	0	190000	152155	0	232	232	MHUE	Michelle  Lin	Michelle  Lin	394-9018	2017	Q4	2017_Q4	4 - Downtown	6	Downtown	Downtown-Van Ness-Geary	(37.78317543380, -122.40956831800)
Mixres	74410	950 GOUGH ST	FALSE	BP FILED	10/28/2015 12:00:00 AM	100	100	11	11		90% AMI;	Ownership	2012	Mixed-use building comprised of 100 residential dwelling units, church and community space, 73 space parking garage and courtyard.		9701	9701	0	9701	9701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SLAI				2017	Q4	2017_Q4	5 - Western Addition	5		Downtown-Van Ness-Geary	(37.78222256610, -122.42376594700)
Mixres	744010	950 GOUGH ST	TRUE	BP FILED	10/28/2015 12:00:00 AM	95	95	11	11	On-site BMR Project	90% AMI;	Ownership	2012	Mixed-use building comprised of 100 residential dwelling units, church and community space, 73 space parking garage and courtyard.	CONSTRUCT (N) RESIDENTIAL, ASSEMBLY, PARKING	10000	10000	0	10000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MWOODS				2017	Q4	2017_Q4	5 - Western Addition	5		Downtown-Van Ness-Geary	(37.78222256610, -122.42376594700)
Resident	4107001B	950 TENNESSEE ST	TRUE	BP FILED	12/01/2017 12:00:00 AM	103	103	0	0	Fee Payment			2014	The proposed project is to demolish the existing two-story 36,098 square foot industrial building and construct a four-story, 40-foot tall residential building.  The existing building on the 31,883 square foot subject lot was constructed in 1947.  The pr		0	-31663	0	0	0	0	0	0	0	0	-7896	0	0	-23767	0	0	0	0	0	0	0	0	0	0	0	AA CONV				2017	Q4	2017_Q4	9 - South of Market	10	Central Waterfront (EN); Dogpatch Public Realm Plan	Eastern Neighborhoods	(37.75974769170, -122.38988211500)
Resident	4160009	952 CAROLINA ST	FALSE	BP Filed	10/19/2017 12:00:00 AM	2	2	0	0						ERECT (N) 2-UNIT, 4-STORY RESIDENCE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					2017	Q4	2017_Q4	9 - South of Market	10	Showplace Square/Potrero Hill (EN)	Eastern Neighborhoods	(37.75654814060, -122.40015140900)
Resident	280011	952 SUTTER ST	FALSE	BP FILED	05/16/2016 12:00:00 AM	63	5	0	0				2016-006900PRJ	NON-STRUCTURAL INTERIOR REMODEL OF EXISTING DWELLING UNITS ON LEVELS 2-6, RECONFIGURE OF (E) UNITS 101,102 AND UNIT 5 ON LEVEL 1. ADDITION OF FIVE (N) DWELLING UNITS IN BASEMENT.	NON-STRUCTURAL INTERIOR REMODEL OF EXISTING DWELLING UNITS ON LEVELS 2-6, RECONFIGURE OF (E) UNITS 101,102 AND UNIT 5 ON LEVEL 1. ADDITION OF FIVE (N) DWELLING UNITS IN BASEMENT.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NORTHEAS	FO 952 SUTTER STREET PROPERTY LLC L	FO 952 SUTTER STREET PROPERTY LLC		2017	Q4	2017_Q4	4 - Downtown	3		Downtown-Van Ness-Geary	(37.78854634810, -122.41616322800)
Mixres	3753114	953 - 955 FOLSOM ST	FALSE	BP FILED	02/02/2017 12:00:00 AM	18	18	0	0				2016-005596PRJ	"Proposed new construction of a nine-story building with one commercial space, 18 residential units & one shared open spaces.

The PPA was submitted on 4/25/16 and the 90 day deadline is 7/24/16."	"TO ERECT 9 STORIES, NO BASEMENT, TYPE IA & VA, 18 DWELLING UNITS MIX USE WITH OFFICE.
** MAHER ORDINANCE - EXTENDED ORDINANCE 155-13 NOT REQUIRED **"	965	-1152	0	0	0	0	0	0	0	0	0	2117	0	-2117	0	965	965	0	0	0	0	0	0	0	0	SAMONSKY	SIA Consulting		4159220200	2017	Q4	2017_Q4	9 - South of Market	6	East SoMa (EN); Central SoMa	Eastern Neighborhoods	(37.77904945790, -122.40432890800)
Resident	3639028	953 TREAT AV	FALSE	BP FILED	11/04/2015 12:00:00 AM	2	2	0	0				2015-006510PRJ	Conditional Use Authorization request to permit the demolition of an existing single family house, determined not to be a historic resource per HRER.  Variance requests for the street frontage and permitted obstructions to construct two new buildings, ea	"BUILDING# 1. TO ERECT 4 STORIES, NO BASEMENT, 2 UNITS RESIDENTIAL BUILDING.
** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 REQUIRED; ROUTE TO DPH **"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	EJARDINE	WInder Gibson Architects		4153188634	2017	Q4	2017_Q4	8 - Mission	9	Mission (EN); Mission District Streetscape Plan	Eastern Neighborhoods	(37.75509974630, -122.41303021900)
