APN	Entitlement	BESTSTAT	BESTDATE	NAMEADDR	Alias	PLN_CASENO	BP_APPLNO	UNITS	NET_UNITS	AFF_UNITS	NET_AFF_UNITS	SECTION415	TENURE_TYPE	COST	PROPUSE	TOTAL_GSF	NET_GSF	CIE	NET_CIE	MED	NET_MED	MIPS	NET_MIPS	PDR	NET_PDR	RET	NET_RET	VISIT	NET_VISIT	FirstFiled	PLN_DESC	BP_DESC	PLANNER	SPONSOR	SP_CONTACT	SP_CONTACTPH	NEIGHBORHOOD	PLAN_AREA	PLAN_DISTRICT	HEIGHT_DISTRICT	ZONING_SIM	ZONING_DISTRICT	SUPE_DISTRICT	Location
APN 3774071	0	BP FILED	06/20/2013	77 & 85 FEDERAL ST		2012	201306200082	0	0	0	0			$7000000.00	OFFICE	72093	54977	0	0	0	0	49730	32614	0	0	22363	22363	0	0	11/08/2012	The proposed project is to demolish two story existing office buildings and new construction of a 5 story, 65-foot tall, commercial building with retail (fitness facility) at the ground-floor and basement level, and office use on the upper four-floors.	ERECT 5-STORY COMMERCIAL & RETAIL NEW BUILDING.	RSUCRE	UNDER REVIEW	UNDER REVIEW	UNDER REVIEW	South of Market	East SoMa (EN); South of Market	South of Market	65-X	MUO	MIXED USE-OFFICE	SUPERVISORIAL DISTRICT 6	(37.78286227230, -122.39234239600)
APN 5898035	0	BP FILED	10/20/2015	771 SILVER AV			201510200292	1	1	0	0			$500000.00	1 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10/20/2015		CONSTRUCT (N) 3-STORY SINGLE FAMILY DWELLING.	EJARDINE				Excelsior		South Central	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	SUPERVISORIAL DISTRICT 9	(37.72921515480, -122.41991690000)
APN 0846018	0	BP FILED	02/16/2016	776 HAIGHT ST		2016-002509PRJ	201602169700	3	2	0	0			$150000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	02/16/2016		VERTICAL & HORIZONTAL ADDITION TO (E) 2 STORY BLDG. ADD 2 ADDITIONAL LEVELS (2 ADDITIONAL UNITS) ADDING STORAGE AT GROUND LEVEL BEHIND COMM'L FOR RESIDENTIAL USE, NEW STORE FRONT TO BE MODIFIED	LAJELLO	UNDER REVIEW	UNDER REVIEW	UNDER REVIEW	Western Addition		Buena Vista	40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	SUPERVISORIAL DISTRICT 5	(37.77178010540, -122.43496659500)
APN 4044013	1	BP APPROVED	04/25/2016	777 TENNESSEE ST		2013	201507141485	59	59	8	8	On-site BMR Project	Ownership	$22800000.00	APARTMENTS	0	-11424	0	0	0	0	0	0	0	-11424	0	0	0	0	03/15/2013	The proposed project would involve the demolition of an existing two-story light industrial building and construction of a new multi-family building.  The proposed new building would include 59 Residential units over below grade parking which would conta	TO ERECT 5 STORIES, 2 BASEMENTS, 59 UNITS RESIDENTIAL & PARKING.	CTOWNES	Closed	Closed	Closed	Potrero Hill	Central Waterfront (EN)	South of Market	58-X	UMU	URBAN MIXED USE	SUPERVISORIAL DISTRICT 10	(37.76202676660, -122.38932447700)
APN 3589108	1	BP ISSUED	12/08/2015	777 VALENCIA ST	767 VALENCIA ST	2014	201310310847	3	3	0	0			$500000.00	APARTMENTS	12967	0	0	0	0	0	2952	0	0	0	10015	0	0	0	10/31/2013		CONSTRUCTION OF (3) (N) RESIDENTIAL UNITS ON A (N) 3RD FL INCLUDING (1) KITCHEN & (1) BATHROOM PER RESIDENCE.	EJACKSON	Closed	Closed	Closed	Mission	Mission (EN)	Mission	55-X	NCT	VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT	SUPERVISORIAL DISTRICT 9	(37.76056459350, -122.42118770200)
APN 5892032	1	BP ISSUED	06/22/2016	78 NEY ST		2016-003046PRJ	201603010912	2	1	0	0			$101375.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	03/01/2016		LEGALIZE 2ND UNIT, INTERIOR REMODEL PER ORD. #43-14. BATHROOM & KITCHEN REMODELS.	ALEXANDE	UNDER REVIEW	UNDER REVIEW	UNDER REVIEW	Excelsior		South Central	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	SUPERVISORIAL DISTRICT 11	(37.72981826390, -122.42870141100)
APN 3612017A	1	BP ISSUED	01/13/2016	787 TREAT AV			201403170852	3	1	0	0			$90000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	03/17/2014		CHANGE OF OCCUPANCY R3 TO R2. AT 2/FL, DIVIDE 2/FL SPACE TO 2 SEPARATE UNITS WITH NEW KITCHEN, BATHROOM AND BEDROOM & STUDY.	BBENDIX				Mission	Mission (EN)	Mission	40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	SUPERVISORIAL DISTRICT 9	(37.75767358530, -122.41331292300)
APN 1607011D	0	BP FILED	02/05/2016	789 37TH AV		2016-002039PRJ	201602058918	2	1	0	0			$240000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	02/05/2016		HORIZONTAL EXTENSION ADDITION, EXCAVATE LOWER LEVEL TO CREATE 2ND UNIT. EXTEND LOWER LEVEL & PARTIAL NORTHSIDE, ADD (N) OFFICE, BATHROOMS, REAR DECK ABOVE LOWER LEVEL EXTENSION. IMPROVE KITCHEN, ELECTRICAL, LIGHTING & FURNACE.	ERUSSELL	UNDER REVIEW	UNDER REVIEW	UNDER REVIEW	Outer Richmond		Richmond	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 1	(37.77418311370, -122.49753956700)
APN 3591024	0	PL FILED	01/14/2016	793 SOUTH VAN NESS AV		2015-001360PRJ		73	73	11	11			$0.00		4577	4577	0	0	0	0	0	0	0	0	4577	4577	0	0	07/23/2015	the proposed project would demolish the existing gas station and construct a five-story residential building with ground floor retail space. The roof of the building would be 55 feet above street level, with roof deck, circulation penthouse, and mechanic		VBYRD	UNDER REVIEW	UNDER REVIEW	UNDER REVIEW	Mission	Mission (EN)	Mission	55-X	NC-3	NEIGHBORHOOD COMMERCIAL, MODERATE SCALE	SUPERVISORIAL DISTRICT 9	(37.76067284160, -122.41670119700)
APN 3603024	0	BP FILED	09/19/2014	799 CASTRO ST			201409196883	1	1	0	0			$500000.00	1 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	09/19/2014		ALTERATION OF EXISTING COMMERCIAL BUILDING - CONVERSION OF OCCUPANCY TO R-3. TO REPLACE 2012-08-30-8694S.  CHANGE OF USE , NEW ROOF DECK, ADD RESIDENTIAL KITCHEN, BATHS, BEDROOMS.	TWANG				Castro/Upper Market		Central	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 8	(37.75623617850, -122.43423782900)
APN 3569052	0	BP FILED	02/04/2014	8 RONDEL PL			201402047760	2	2	0	0			$750000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	02/04/2014		ERECT A TWO FAMILY DWELLING RESIDENTIAL BUILDING.	EJARDINE				Mission	Mission (EN)	Mission	45-X	RTO-M	RESIDENTIAL TRANSIT ORIENTED- MISSION	SUPERVISORIAL DISTRICT 9	(37.76449129630, -122.42135077300)
APN 1068003	1	BP ISSUED	12/11/2015	80 BLAKE ST			201306149612	2	2	0	0			$1110000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/14/2013		ERECT NEW 4-STORY 2-FAMILY DWELLING BUILDING.	SYOUNG				Presidio Heights		Richmond	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 2	(37.78249894910, -122.45090981800)
APN 3547027	1	BP ISSUED	10/27/2011	80 JULIAN AV		2009	201011305795	9	9	0	-1			$2800000.00	OFFICE	12900	12900	0	0	0	0	12900	12900	0	0	0	0	0	0	11/30/2009	Lot line adjustment, demo existing residential building,  New construction of Community Facility having housing ground floor with commercial above.	ERECT 4 STORIES, TYPE 5, 7 BEDROOMS OUTPATIENT DENTAL/MEDICAL & CONGREGATE RESIDENCE BUILDING.	EOROPEZA	Closed	Closed	Closed	Mission	Mission (EN)	Mission	45-X	NCT	VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT	SUPERVISORIAL DISTRICT 9	(37.76720514830, -122.42139240000)
APN 6472008	0	BP FILED	10/02/2014	80 OLIVER ST			201410027943	2	1	0	0			$123000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10/02/2014		NEW UNIT @ GROUND FLOOR. 2 STORIES HORIZONTAL ADDITION @ REAR. ADD 2 BEDROOMS & 3 BATHROOMS & MEDIA ROOM & SITTING AREA.	NKWIATKO				Crocker Amazon		South Central	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	SUPERVISORIAL DISTRICT 11	(37.70848732580, -122.45023834300)
APN 7331003	1	BP ISSUED	07/01/2016	800 BROTHERHOOD WAY (BP ISSUED)	SUMMIT 800	2003		3	3	0	0			$0.00		0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/14/2003	The project site is currently an 8.15-acre parcel of vacant land.  The proposed project involves the subdivision of the site into 127 lots and the construction of 127 buildings, including 66 single-family homes, 39 two-unit buildings, and 22 three-unit b		AA CONV	UNDER REVIEW	UNDER REVIEW	UNDER REVIEW	Lakeshore	Parkmerced	Ingleside	40-X	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	SUPERVISORIAL DISTRICT 7	(37.71535854280, -122.47728056500)
APN 7331005	1	CONSTRUCTION	07/01/2016	800 BROTHERHOOD WAY (UNDER CONSTRUCTION)	SUMMIT 800	2003		81	81	0	0			$0.00		0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/14/2003	The project site is currently an 8.15-acre parcel of vacant land.  The proposed project involves the subdivision of the site into 127 lots and the construction of 127 buildings, including 66 single-family homes, 39 two-unit buildings, and 22 three-unit b	Multiple permits.	MBOURDE	Closed	Closed	Closed	Lakeshore	Parkmerced	Ingleside	40-X	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	SUPERVISORIAL DISTRICT 7	(37.71528627370, -122.47583598300)
APN 4105009	1	CONSTRUCTION	06/27/2016	800 INDIANA ST	AVALON DOGPATCH	2011	201406259383	326	326	0	0	Fee Payment		$115000000.00	APARTMENTS	0	-74847	0	0	0	0	0	0	0	-74847	0	0	0	0	12/07/2011	The proposed project is the demolition of the existing Opera Warehouse and construction of a new 340-unit multi-family units and 294 parking spaces. The project would be constructed in six building with a semi subterraen parking garage.	"TO ERECT 5 STORIES, 1 BASEMENT, 326 DWELLING UNITS RESIDENTIAL, PARKING, ACCESSORY USES BUILDING.
** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 REQUIRED; ROUTE TO DPH **"	RSUCRE	Closed	Closed	Closed	Potrero Hill	Central Waterfront (EN)	South of Market	58-X	UMU	URBAN MIXED USE	SUPERVISORIAL DISTRICT 10	(37.75919640330, -122.39172904700)
APN 1073013	1	CONSTRUCTION	06/09/2016	800 PRESIDIO AV		2006	201204168406	83	83	83	83			$15000000.00	APARTMENTS	21500	10180	21500	10180	0	0	0	0	0	0	0	0	0	0	11/12/2008	The proposed project would demolish the existing one-story community center and construct a new building consisting of 83 dwelling units (59 units of work-force housing and 21 units of affordable housing.), 21,500 sq. ft. community center on the ground f	TO ERECT 5 STORIES, 50 UNITS COMMUNITY CENTER / HOUSING, MIXED USED BUILDING WITH 1 BASEMENT.	MJACINTO	Closed	Closed	Closed	Western Addition		Richmond	40-X-55-X	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	SUPERVISORIAL DISTRICT 5	(37.78404515960, -122.44574326100)
APN 3783001	1	CONSTRUCTION	06/30/2016	801 BRANNAN ST		2012	201309045886	434	557	55	55	On-site BMR Project	Rental	$127060484.00	APARTMENTS	31420	-133129	0	0	0	0	0	0	0	-164549	31420	31420	0	0	05/31/2012	Demolish an existing building (Concourse Exhibit Hall) containing 125,000 square feet of space and 280 surface parking spaces and construct new buildings extending up to 70 feet in height and containing 560 dwellings, 438 off-street parking space, and 8,	"TO ERECT 6 STORIES, NO BASEMENT, 434 DWELLING UNITS, TYPE 1A & 3A, RESIDENTIAL/RETAIL/PARKING BUILDING. 
** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 NOT REQUIRED **"	JKUGLER	Closed	Closed	Closed	South of Market	Showplace Square/Potrero Hill (EN)	South of Market	68-X	UMU	URBAN MIXED USE	SUPERVISORIAL DISTRICT 6	(37.77182385610, -122.40388263300)
APN 6758032	1	CONSTRUCTION	07/01/2016	807 BOSWORTH ST		2014	201306280702	2	1	0	0			$340000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/28/2013	Add a second dwelling unit to the front of the log.	DEMOLISH (E) CONC. CARPORT IN FRONT OF LOT. CONSTRUCT NEW 2ND DWELLING UNIT IN FRONT OF LOT LIVING ROOM, KITCHEN, 2 BEDROOMS, 2 BATHS, GARAGE, OFFICE IN (E) SINGLE FAMILY RESIDENCE IN MID-LOT TO REMAIN. FOUNDATION WORK AT (E) SINGLE FAMILY RESIDENCE AS R	JLOOK	UNDER REVIEW	UNDER REVIEW	UNDER REVIEW	Outer Mission		Ingleside	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 8	(37.73366989260, -122.43612723400)
APN 0744002	0	PL FILED	06/23/2015	807 FRANKLIN ST		2013		50	49	5	5			$13093388.00		0	0	0	0	0	0	0	0	0	0	0	0	0	0	08/29/2013	The proposed project is the addition & alteration to a historic, single-family victorian home, including the removal of non-historic rear addition and expansion of penthouse and construction of a new 8-story, multi-family residential apartment building i		SLAI	UNDER REVIEW	UNDER REVIEW	UNDER REVIEW	Downtown/Civic Center		Western Addition	80-B	RM-4	RESIDENTIAL- MIXED, HIGH DENSITY	SUPERVISORIAL DISTRICT 5	(37.78212012750, -122.42271086300)
APN 0151029	0	BP FILED	04/22/2013	81 GLOVER ST			201304225124	2	1	0	0			$70000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	04/22/2013		PROVIDE 2 APRTMENTS. 1ST FLR, NEW KITCHEN, RELOCATE(E) BATHROOM & CLOSET, ELIMINATE (E) STAIRWAY TO 2ND FLR. 2ND FL, REMODEL (E) KITCHEN & BATHROOM & PROVIDE (E) STAIR TO ROOF, NEW USABLE OPEN SPACE UPON ROOF.	KCONNER				Russian Hill		Northeast	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 3	(37.79699715930, -122.41651415900)
APN 6250030	0	BP FILED	06/29/2015	81 LELAND AV			201506290158	4	4	0	0			$600000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/29/2015		FRONT BLDG - ERECT 3-STORY, TYPE 5, 4 DWELLING UNITS WITH OFFICE BUILDING.	JSPEIRS				Visitacion Valley	Schlage Lock	South Central	40-X	NC-2	NEIGHBORHOOD COMMERCIAL, SMALL SCALE	SUPERVISORIAL DISTRICT 10	(37.71162245530, -122.40546195100)
APN 3538036	1	BP APPROVED	10/01/2012	81 NOE ST			201006023692	3	1	0	0			$85000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/02/2010		FIRST FLOOR UNIT TO BE LEGALIZED. CHANGE OF OCCUPANCY FROM R3 TO R2 (AS PER SECTION 151.1 OF SF PLANNING CODE, NO PARKING REQUIRED). SPRINKLER SYSTEM INSTALLATION UNDER SEPARATE PERMIT.	APUTRA				Castro/Upper Market	Market and Octavia	Buena Vista	40-X	RTO	RESIDENTIAL TRANSIT ORIENTED DISTRICT	SUPERVISORIAL DISTRICT 8	(37.76789683360, -122.43313153600)
APN 3642062	1	BP ISSUED	11/20/2015	811 CAPP ST		2015-002248PRJ	201210172213	5	1	0	0			$5000.00	1 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10/17/2012	Modification to the existing approved Variance 2012.0202V to permit the addition of a dwelling unit within the existing building envelope.	TO COMPLY NOV#201170833 REFERENCE PA#2011-09-15-4679. REVISE BLDG 2 FT BY SISTERING NEW STUDS TO (E) STUDS. ADD SHEAR WALL PER DRAWINGS.	JSPEIRS	Closed	Closed	Closed	Mission	Mission (EN)	Mission	40-X	RTO-M	RESIDENTIAL TRANSIT ORIENTED- MISSION	SUPERVISORIAL DISTRICT 9	(37.75369121220, -122.41716492000)
APN 3613053	1	BP ISSUED	03/03/2016	811 TREAT AV		2013	201505287452	7	2	0	0			$600000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/19/2013	Conditional Use Authorization and Variance request to add two additional units for a total of 7 units on the property and a variance to the rear yard requirement for the expansion of the existing garage to create an additional parking space.	CONVERSION (E) STORAGE SHED AT REAR TO LIVING SPACE TO ACCOMODATE THE ADDITION OF 2 ADDITIONAL UNITS(7 TOTAL). EXTERIOR MODIFICATIONS TO (E) BUILDINGS. ADDITION (N) ROOF DECK AT REAR BLDG. HORIZONTAL ADDITON TO REAR OF 2 CAR GARAGE TO ACCOMADATE BICYCLE	CTOWNES	UNDER REVIEW	UNDER REVIEW	UNDER REVIEW	Mission	Mission (EN)	Mission	40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	SUPERVISORIAL DISTRICT 9	(37.75687211780, -122.41308330500)
APN 1150005	0	BP FILED	05/07/2015	813 LYON ST			201505075705	3	2	0	0			$700000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/07/2015		HORIZONTAL & VERTICAL ADDITION TO (E) 2 STORY SINGLE FAMILY HOUSE. PROPOSED 2 ADDITIONAL RESIDENTIAL UNITS. MUST PROVIDE SPRINKLER SYSTEM THROUGH OUT BUILDING PER NFPA 13 - UNDER SEPARATE APPLICATION.	AKIRBY				Western Addition		Western Addition	40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	SUPERVISORIAL DISTRICT 5	(37.77858311150, -122.44392372400)
APN 4059001A	1	BP ISSUED	06/15/2016	815 TENNESSEE ST		2013	201405054911	69	69	10	10	On-site BMR Project	Ownership	$21000000.00	APARTMENTS	0	-32000	0	0	0	0	0	0	0	-32000	0	0	0	0	12/06/2013	Demolition of the two-story 815-825 Tennessee buildings, retaining the brick facade on the corner of Tennessee & 19th Streets (listed as a known historic resource in the Central Watrefront Survey) and construction of a new 6-story apartment building with	"TO ERECT 5 STORIES, 1 BASEMENT, 69 UNITS RESIDENTIAL WITH PARKING BUILDING.
** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 NOT REQUIRED **"	RSUCRE	Closed	Closed	Closed	Potrero Hill	Central Waterfront (EN)	South of Market	58-X	UMU	URBAN MIXED USE	SUPERVISORIAL DISTRICT 10	(37.76122837640, -122.38925074900)
APN 4645002B	0	BP FILED	05/03/2016	818 INNES AV		2016-006319PRJ	201605036396	3	3	0	0			$500000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/03/2016		CONSTRUCT (N) 4-STORY MULTI-UNIT RESIDENTIAL & COMMERCIAL	EJARDINE	Application Accepted	Application Accepted	Application Accepted	Bayview	India Basin Shoreline/Area C; Bayview Hunters Point	South Bayshore	40-X	NC-2	NEIGHBORHOOD COMMERCIAL, SMALL SCALE	SUPERVISORIAL DISTRICT 10	(37.73132782860, -122.37404520800)
APN 4085003	0	BP FILED	03/11/2015	824 FLORIDA ST			201503110498	2	1	0	0			$950000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	03/11/2015		VERTICAL&HORIZONTAL ADDITION. ADD 3 STORIES. ADD 1 UNIT. ADD ROOF DECK. UNIT 1: 1&2/FL-3 BR & 2 1/2 BATH, LAUNDRY, LIVING, DINING & KITCHEN. UNIT 2: 3&4/FL-3 BR & 2 1/2 BATH, LAUNDRY, LIVING, DINING & KITCHEN.	JIMENEZS				Mission	Mission (EN)	Mission	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 9	(37.75864086590, -122.41091001400)
APN 1677004	1	BP ISSUED	03/07/2016	827 34TH AV			201409095796	2	1	0	0			$240000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	09/09/2014		1ST FLOOR: CONVERT PORTION OF THE 1ST FLOOR TO A DWELLING UNIT# 1 INCLUDING HORIZONTAL ADDITION @ THE BACK OF THE BUILDING. 2ND FLOOR: INTERIOR ALTERATION & REMODEL INCLUDE HORIZONTAL ADDITOIN @ THE REAR OF DWELLING UNIT# 2.	SYOUNG				Outer Richmond		Richmond	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 1	(37.77342957500, -122.49425629000)
APN 0194004	0	PL FILED	07/29/2015	827 KEARNY ST		2014		1	1	0	0			$0.00		8795	2820	6915	6915	0	0	0	0	0	0	1880	-4095	0	0	03/14/2014	Demolition of an existing 2 story commercial building built in 1922 and construction of new 4 story over partial basement mixed-use building totaling approximately 11,320 sq. ft. .  The proposed project would contain approximately 1,880 sq.ft. of commerc		AA CONV	UNDER REVIEW	UNDER REVIEW	UNDER REVIEW	Chinatown	Chinatown	Northeast	65-N	CCB	CHINATOWN-COMMUNITY BUSINESS	SUPERVISORIAL DISTRICT 3	(37.79568626350, -122.40535562200)
APN 0026030	1	CONSTRUCTION	06/03/2014	827 NORTH POINT ST		2013	201111078462	3	3	0	0			$1260000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11/07/2011		ERECT NEW 4-STORY 3 DWELLING UNITS CONDO.	ASTARR	Closed	Closed	Closed	Russian Hill	Fisherman's Wharf; Northeast Waterfront	Northeast	40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	SUPERVISORIAL DISTRICT 2	(37.80536903200, -122.42087028300)
APN 3780004E	0	PL FILED	04/14/2016	828 BRANNAN ST		2015-015789PRJ		60	60	0	0			$0.00		2798	-9807	0	0	0	0	0	0	0	-12605	2798	2798	0	0	12/10/2015	The proposed project is to demolish the exiting two-story building and to construct a 6-story residential building with ground-floor commercial space.  The project would contain 61,000 gross square feet, with a total of 60 dwelling units in a mix of 25 s		VBYRD	Open	Open	Open	South of Market	Showplace Square/Potrero Hill (EN)	South of Market	68-X	UMU	URBAN MIXED USE	SUPERVISORIAL DISTRICT 6	(37.77275248510, -122.40415780600)
APN 4088024	0	BP FILED	02/08/2016	829 YORK ST			201602089074	3	1	0	0			$40000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	02/08/2016		TO COMPLY WITH NOV 201322371. LEGALIZE (E) GROUND FLOOR UNIT INTO A 3RD DWELLING UNIT.	KCONNER				Mission	Mission (EN)	Mission	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 9	(37.75818062390, -122.40842398800)
APN 0738018	0	PL FILED	12/08/2015	830 EDDY ST		2015-009460PRJ		126	126	15	15			$0.00		34750	0	0	0	0	0	29810	0	0	0	4940	0	0	0	07/29/2015	The Project Site incorporates two parcels that were once part of a single development site and lot that was later subdivided.  One parcel, located at 825 Van Ness Avenue, comprises an existing six story commercial building.  The second parcel, located at		VBYRD	UNDER REVIEW	UNDER REVIEW	UNDER REVIEW	Downtown/Civic Center	Van Ness Corridor	Western Addition	130-V	RC-4	RESIDENTIAL- COMMERCIAL, HIGH DENSITY	SUPERVISORIAL DISTRICT 5	(37.78305190020, -122.42164637600)
APN 1312022	0	BP FILED	12/13/2013	830 EL CAMINO DEL MAR			201312134211	1	1	0	0			$1500000.00	1 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/13/2013		(FRONT BLDG) ERECT ONE STORY OF ONE SINGLE FAMILY WITH GARAGE.	FARRENSW				Seacliff		Richmond	40-X	RH-1(D)	RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED	SUPERVISORIAL DISTRICT 2	(37.78729680080, -122.49264437500)
APN 6738020	1	BP ISSUED	04/25/2016	831 CHENERY ST			201411040616	1	1	0	0			$980000.00	1 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11/04/2014		CONSTRUCT (N) 3-STORY SINGLE FAMILY RESIDENCE.	PERRY AN				Glen Park	Glen Park	Central	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	SUPERVISORIAL DISTRICT 8	(37.73467028890, -122.43619857300)
APN 0281003	1	CONSTRUCTION	01/21/2016	832 SUTTER ST		2007	201406138386	20	20	2	2	On-site BMR Project	Ownership	$7500000.00	APARTMENTS	400	400	0	0	0	0	0	0	0	0	400	400	0	0	04/19/2007	The proposal is to construct a mixed-use building with no parking on an existing surface parking lot.	TO ERECT 5 STORIES, NO BASEMENT, 20 UNITS RESIDENTIAL & RETAIL BUILDING.	JBATTIS	Closed	Closed	Closed	Downtown/Civic Center		Downtown	80-A	RC-4	RESIDENTIAL- COMMERCIAL, HIGH DENSITY	SUPERVISORIAL DISTRICT 3	(37.78880085350, -122.41420385400)
APN 1180015	1	BP ISSUED	04/04/2016	834 DIVISADERO ST		2015-009173PRJ	201506249842	0	0	0	0			$300000.00	RETAIL SALES	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/24/2015		CHANGE OF USE FROM (E) AUTO BODY REPAIR SHOP TO RETAIL SUITES. NO CHANGE TO THE BUILDING HEIGHT. FLOOR AREA TO BE DECREASED DUE TO NEW STREET LEVEL PATIOS AND INTERIOR BIKE PARKING. N/A FOR MAHER ORDINANCE.	EOROPEZA	UNDER REVIEW	UNDER REVIEW	UNDER REVIEW	Western Addition		Western Addition	65-A	NCT	DIVISADERO STREET NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT	SUPERVISORIAL DISTRICT 5	(37.77743665740, -122.43796538700)
APN 3594023	0	BP FILED	12/11/2014	835 SOUTH VAN NESS AV			201412113579	3	3	0	0			$1500000.00	APARTMENTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/11/2014		ERECT 4-STORY, TYPE 5A, 3 DWELLING UNITS BUILDING.	JIMENEZS				Mission	Mission (EN)	Mission	50-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	SUPERVISORIAL DISTRICT 9	(37.75980435930, -122.41661513200)
APN 1690032	1	BP REINSTATED	11/08/2011	836 48TH AV			200709072126	2	1	0	0			$486000.00	2 FAMILY DWELLING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	09/07/2007		Vertical addition: Add 2 additional stories, to include a penthouse level at (E) 2 story bldg. Submitted as Site permit appl.	SVELLVE				Outer Richmond	Western Shoreline	Richmond	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	SUPERVISORIAL DISTRICT 1	(37.77260351660, -122.50857829800)
APN 3786018	1	CONSTRUCTION	11/02/2015	85 BLUXOME ST		2013	201404072588	0	0	0	0			$12000000.00	OFFICE	55000	27354	0	0	0	0	55000	55000	0	-27646	0	0	0	0	05/16/2013	Project involves demolition of existing two-story masonry building and construction of a new five-story office building.	TO ERECT 5 STORIES OF OFFICE BUILDING - COMPLIANCE WITH MAHER ORDINANCE NO.155-13 REQUIRED ROUTE TO HEALTH	BBENDIX	Closed	Closed	Closed	South of Market	Central SoMa; Western SoMa (EN); South of Market	South of Market	65-X	WMUO	WSOMA MIXED USE-OFFICE	SUPERVISORIAL DISTRICT 6	(37.77610495600, -122.39730232100)
