APN	BESTSTAT	BESTDATE	NAMEADDR	Alias	UNITS	NET_UNITS	AFF_UNITS	NET_AFF_UNITS	SECTION415	TENURE_TYPE	PLN_CASENO	BP_APPLNO	PROPUSE	COST	BP_DESC	PLN_DESC	PROJECT_TYPE	ENTITLEMENT	TOTAL_GSF	NET_GSF	CIE	NET_CIE	MED	NET_MED	MIPS	NET_MIPS	PDR	NET_PDR	RET	NET_RET	VISIT	NET_VISIT	APPLICANT	CONTACT	CONTACTPHONE	FirstFiled	PLANNER	PLAN_AREA	PUBLICREALM	STATUS	PLAN_DISTRICT	SUPE_DISTRICT	ZONING_SIM	ZONING_DISTRICT	ZONING_GEN	ZONING	HEIGHT_DISTRICT	NEIGHBORHOOD	Location
APN 3751029	CONSTRUCTION	11/23/2016	750 HARRISON ST		79	79	9	9	On-site BMR Project	Rental	2013	201602230301	APARTMENTS	$10000000.00	CONSTRUCT (N) 9-STORY MIXED-USE BUILDING. MAHER ORDINANCE IS NOT COMPLY.	The proposed project would invove demolition of existing one-story commercial building (constructed in 1954) and construction of a new eight-story, residential building.  The proposed building would consist of seven residential levels with 77 units, over	Mixres	1	3289	-2035	0	0	0	0	0	0	0	0	3289	-2035	0	0				04/18/2013	DVU	Eastern Neighborhoods w/Valencia; East SoMa (EN); Eastern Neighborhoods (Complete); Central SoMa			South of Market	SUPERVISORIAL DISTRICT 6	MUO	MIXED USE-OFFICE	Mixed Use	MUO	85-X	South of Market	(37.78178071190, -122.39867574800)
APN 0130012	BP FILED	07/19/2016	752 VALLEJO ST		4	0	0	0			2016-006168PRJ	201607192782	OFFICE	$2000.00	CHANGE OF USE FROM RETAIL TO OFFICE.	San Francisco Police Department's auxiliary offices for Central Station	Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SF Real Estate	John Updike	415-554-9860	06/14/2016	NFOSTER				Northeast	SUPERVISORIAL DISTRICT 3	NCD	NORTH BEACH NEIGHBORHOOD COMMERCIAL	Mixed Use	NCD-NORTH BEACH	40-X	Russian Hill	(37.79867533170, -122.40953956400)
APN 1652022	BP FILED	12/12/2016	754 10TH AV		2	1	0	0				201612124732	2 FAMILY DWELLING	$150000.00	CHANGE OF USE - ACCESSORY DWG UNITS 783 SQ. FT., 1 BEDRM, 1 1/2 BATH, KITCHEN, LIVING RM + 155 SQ. FT. ADDITION AT REAROF STRUCTURE UNDER (E)2ND STORY & DECK (FROM SINGLE FAMILY TO 2 FAMILY DWELLING)		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				12/12/2016					Richmond	SUPERVISORIAL DISTRICT 1	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	RH-2	40-X	Inner Richmond	(37.77414001350, -122.46775349300)
APN 6948023	BP FILED	07/27/2016	755 OCEAN AV	Lick Wilmerding High	0	0	0	0			2015-006425PRJ	201607273526	SCHOOL	$15000000.00	SELECTIVE DEMO & FULL RENOVATION OF (E) 2 STORY BLDG WITH HISTORIC FACADE & 3RD STORY ADDITION TO CLASSROOM BLDG. SELECTIVE DEMO & PARTIAL RENOVATION OF (E) SCIENCE CLASSROOM & ADDITION OF RESTROOMS @ THEATRE BLDG. ADDITION OF NEWLY ENCLOSED ALLEY SPACE	"The proposed project consists of the demolition and new construction of a classroom & office building that is linked to two existing 2-story high buildings, one of which will undergo a partial renovation as part of this project.
The existing building th"	CIE	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Union Development Company	Joel Roos	415-929-6708	05/21/2015	DWASHING	Balboa Park; BP: Transit Station Area			Ingleside	SUPERVISORIAL DISTRICT 7	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	Residential	RH-1	40-X	Outer Mission	(37.72232209540, -122.44897987300)
APN 3589088	BP FILED	12/23/2014	757 VALENCIA ST		0	0	0	0			2015-008231PRJ	201412234411	FOOD/BEVERAGE HNDLNG	$20000.00	INSTALL 9' X 20', 1-STORY, TYPE 5, CONTAINER RESTAURANT.		Retail/Ent	0	530	530	0	0	0	0	0	0	0	0	530	530	0	0				12/23/2014	KDURANDE	Mission (EN); Eastern Neighborhoods w/Valencia; Eastern Neighborhoods (Complete); Mission District Streetscape Plan		Adopted	Mission	SUPERVISORIAL DISTRICT 9	NCT	VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT	Mixed Use	NCT-VALENCIA	55-X	Mission	"Y
(37.76076997820, -122.42120737000)"
APN 4974008	BP FILED	12/28/2016	758 JAMESTOWN AV		3	3	0	0			2015-011475PRV	201612286113	1 FAMILY DWELLING	$300000.00	"ERECT A 3 STORY TYPE 5B SINGLE FAMILY DWELLING.
"		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				12/28/2016		Bayview Hunters Point			South Bayshore	SUPERVISORIAL DISTRICT 10	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	Residential	RH-1	40-X	Bayview	(37.71588693310, -122.38944127100)
APN 3728043	BP FILED	07/14/2016	758 NATOMA ST		0	0	0	0				201607142354	WAREHOUSE,NO FRNITUR	$1.00	"TO CHANGE DORMITORY CHANGED PER APP #8511648 BACK TO A WAREHOUSE. NO CONSTRUCTION UNDER THIS PERMIT. 
** MAHER: N/A **"		PDR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				07/14/2016		Western SoMa (EN); Eastern Neighborhoods (Complete); South of Market			Downtown	SUPERVISORIAL DISTRICT 6	RED-MX	RESIDENTIAL ENCLAVE-MIXED	Mixed Use	RED-MX	45-X	South of Market	(37.77603366070, -122.41322830500)
APN 6946019	BP FILED	09/26/2014	76 BRUCE AV		2	1	0	0				201409267378	2 FAMILY DWELLING	$49000.00	THREE STORY REAR ADDITION FOR NEW MASTER BEDROOM, BEDROOM FAMLY,BATHROOM,TWO STORY FRONT ADDITION FOR NEW LIVING ROOM AND PARKING GARAGE.		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				09/26/2014	SOUTHWES				Ingleside	SUPERVISORIAL DISTRICT 11	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	Residential	RH-1	40-X	Ocean View	(37.72236012940, -122.45252372500)
APN 1648012	BP FILED	09/02/2014	763 05TH AV		3	1	0	0				201409025180	APARTMENTS	$350000.00	HORIZONTAL & VERTICAL ADDITION TO REAR OF (E) 3 STORY 2 UNIT BUILDING TO PROVIDE NEW 3RD UNIT. ADDITION INCLUDE 4 (N) BEDROOM & 4 (N) BEDROOMS & 4 (N) BATHS, ALTERATION TO INTERIOR PARTITIONS IN GARAGE. UPGRADE ELECTRICAL & MECHANICAL SYSTEMS & ENERGY CO		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				09/02/2014	HKLINE				Richmond	SUPERVISORIAL DISTRICT 1	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	Residential	RH-3	40-X	Inner Richmond	(37.77441010660, -122.46306076300)
APN 3729063	BP ISSUED	12/09/2016	767 TEHAMA ST		5	3	0	0			2015-006913PRJ	201505297474	APARTMENTS	$500000.00	COMPLY TO NOV#201519311,201519321,201247141,201168394,201168456,200788234, 120666964. REMODEL OF (E)UNITS (763,765 & 767) INCL DEMO & CONST ON 2ND & 3RD FL.RELOC/REMODEL (E)KITCHENS, BATHRMS, BEDRM & LIVING RMS FOR ALL UNIT. VERT ADD FOR (N)TOP UNITS W/R		Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				05/29/2015	DISALVOJ	Western SoMa (EN); Eastern Neighborhoods (Complete); South of Market			South of Market	SUPERVISORIAL DISTRICT 6	RED-MX	RESIDENTIAL ENCLAVE-MIXED	Mixed Use	RED-MX	45-X	South of Market	(37.77490467300, -122.41192020200)
APN 3751033	BP FILED	06/26/2014	768 HARRISON ST		26	26	0	0			2013	201406269588	APARTMENTS	$5800000.00	ERECT NEW MULTI-FAMILY RESIDENTIAL, OFFICE, RETAIL	The proposed project includes the demolition of an existing 2-story building and the construction of a new 9-story building with retail on the 1st floor and the mezzanine and residential uses above. The project would have 26 residential units and no off-	Mixres	0	7948	2948	0	0	0	0	7351	7351	0	-5000	597	597	0	0	Ian Birchall	John Kevlin	415 567 9000	12/23/2013	CTOWNES	Eastern Neighborhoods w/Valencia; East SoMa (EN); Eastern Neighborhoods (Complete); Central SoMa			South of Market	SUPERVISORIAL DISTRICT 6	MUO	MIXED USE-OFFICE	Mixed Use	MUO	85-X	South of Market	(37.78149557470, -122.39910491300)
APN 3774071	BP FILED	06/20/2013	77 & 85 FEDERAL ST		0	0	0	0			2012	201306200082	OFFICE	$7000000.00	ERECT 5-STORY COMMERCIAL & RETAIL NEW BUILDING.	The proposed project is to demolish two story existing office buildings and new construction of a 5 story, 65-foot tall, commercial building with retail (fitness facility) at the ground-floor and basement level, and office use on the upper four-floors.	Mixed	0	72093	54977	0	0	0	0	49730	32614	0	0	22363	22363	0	0	David Yocke	David Yocke	415-269-1332	11/08/2012	RSUCRE	Eastern Neighborhoods w/Valencia; East SoMa (EN); Eastern Neighborhoods (Complete); South of Market			South of Market	SUPERVISORIAL DISTRICT 6	MUO	MIXED USE-OFFICE	Mixed Use	MUO	65-X	South of Market	(37.78286227320, -122.39234239500)
APN 1646021	BP FILED	12/21/2016	770 04TH AV		2	1	0	0				201612215533	2 FAMILY DWELLING	$10000.00	ADD UNIT PER ORDINANCE NO. 162-16. CONVERT A GARAGE INTO A UNIT. ADD SHOWER, BATHROOM & KITCHEN IN THE UNIT, APPLY INSULATIONS. NEW OPENING FOR SLINDING DOOR. DRYWALL TO ALL CEILING & WALLS . NEW LIGHT FIXTURES, FLOORING & PAINTING.		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				12/21/2016					Richmond	SUPERVISORIAL DISTRICT 1	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	Residential	RH-1	40-X	Inner Richmond	(37.77447790550, -122.46133230100)
APN 5898035	BP FILED	10/20/2015	771 SILVER AV		1	1	0	0				201510200292	1 FAMILY DWELLING	$500000.00	CONSTRUCT (N) 3-STORY SINGLE FAMILY DWELLING.		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				10/20/2015	EJARDINE				South Central	SUPERVISORIAL DISTRICT 9	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	Residential	RH-1	40-X	Excelsior	(37.72921515570, -122.41991690000)
APN 0846018	BP FILED	02/16/2016	776 HAIGHT ST		3	2	0	0			2016-002509PRJ	201602169700	APARTMENTS	$150000.00	VERTICAL & HORIZONTAL ADDITION TO (E) 2 STORY BLDG. ADD 2 ADDITIONAL LEVELS (2 ADDITIONAL UNITS) ADDING STORAGE AT GROUND LEVEL BEHIND COMM'L FOR RESIDENTIAL USE, NEW STORE FRONT TO BE MODIFIED		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				02/16/2016	LAJELLO	Lower Haight Public Realm Plan	Y	In Progress	Buena Vista	SUPERVISORIAL DISTRICT 5	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	Residential	RH-3	40-X	Western Addition	(37.77178010540, -122.43496659500)
APN 4044013	BP APPROVED	04/25/2016	777 TENNESSEE ST		59	59	8	8	On-site BMR Project	Ownership	2013	201507141485	APARTMENTS	$22800000.00	TO ERECT 5 STORIES, 2 BASEMENTS, 59 UNITS RESIDENTIAL & PARKING.	The proposed project would involve the demolition of an existing two-story light industrial building and construction of a new multi-family building.  The proposed new building would include 59 Residential units over below grade parking which would conta	Resident	1	0	-11424	0	0	0	0	0	0	0	-11424	0	0	0	0	Gary Burk	Mitchell Benjamin	882-9783 x10	03/15/2013	CTOWNES	Eastern Neighborhoods w/Valencia; Central Waterfront (EN); Eastern Neighborhoods (Complete); Dogpatch Public Realm Plan	Y	In Progress	South of Market	SUPERVISORIAL DISTRICT 10	UMU	URBAN MIXED USE	Mixed Use	UMU	58-X	Potrero Hill	(37.76202676750, -122.38932447800)
APN 3589108	BP ISSUED	12/08/2015	777 VALENCIA ST	767 VALENCIA ST	3	3	0	0			2014	201310310847	APARTMENTS	$500000.00	CONSTRUCTION OF (3) (N) RESIDENTIAL UNITS ON A (N) 3RD FL INCLUDING (1) KITCHEN & (1) BATHROOM PER RESIDENCE.		Mixres	1	12967	0	0	0	0	0	2952	0	0	0	10015	0	0	0				10/31/2013	EJACKSON	Mission (EN); Eastern Neighborhoods w/Valencia; Eastern Neighborhoods (Complete); Mission District Streetscape Plan		Adopted	Mission	SUPERVISORIAL DISTRICT 9	NCT	VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT	Mixed Use	NCT-VALENCIA	55-X	Mission	"Y
(37.76056459350, -122.42118770300)"
APN 7020032	BP ISSUED	12/30/2016	78 LEE AV		2	1	0	0				201609016639	2 FAMILY DWELLING	$30000.00	PER ORD 43-14. LEGALIZAE GROUND FLOOR UNIT CONSISTING OF 1 KITCHEN, 1 BEDROOM 1 FULL BATH. & LIVING ROOM. REMOVE PROP CEILING AND ADD NEW UNIT ENTRY.		Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				09/01/2016					Ingleside	SUPERVISORIAL DISTRICT 11	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	Residential	RH-1	40-X	Ocean View	(37.71964629870, -122.45377343400)
APN 5892032	CONSTRUCTION	11/09/2016	78 NEY ST		2	1	0	0			2016-003046PRJ	201603010912	2 FAMILY DWELLING	$101375.00	LEGALIZE 2ND UNIT, INTERIOR REMODEL PER ORD. #43-14. BATHROOM & KITCHEN REMODELS.		Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				03/01/2016	ALEXANDE				South Central	SUPERVISORIAL DISTRICT 11	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	Residential	RH-1	40-X	Excelsior	(37.72981826490, -122.42870140900)
APN 6753018	BP FILED	10/17/2016	78 ROTTECK ST		2	1	0	0				201610170446	2 FAMILY DWELLING	$80000.00	UNIT LEGALIZATION ORD 43-14. SCOPE OF WORK INCL LEGALIZING EXISTING 1ST FLOOR ILLEGAL UNIT. MADHER ORD N/A.		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				10/17/2016		Glen Park (superseded)			South Central	SUPERVISORIAL DISTRICT 8	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	Residential	RH-1	40-X	Outer Mission	(37.73166272090, -122.43104911800)
APN 3779231	BP ISSUED	11/02/2016	780 BRANNAN ST		0	0	0	0			2016-010101PRJ	201607152511	CLINICS-MEDIC/DENTAL	$1000000.00	CHANGE OF USE FROM AUTO REPAIR TO LAB. CONVERT 9,700 Sq ft OF (E) AREA AS PERMITTED UNDER SECT 890.52 OF THE PLANNING CODE. CONST. INCLUDES NEW WALLS, CASEWORK, CEILING & FINISHES W/ASSOCIATED MEP SCOPE, SCOPE ALSO INCLUDES ACCESS COMPLIANCE		MED	1	9700	0	0	0	9700	9700	0	0	0	-9700	0	0	0	0				08/03/2016		Western SoMa (EN); Eastern Neighborhoods (Complete); South of Market			South of Market	SUPERVISORIAL DISTRICT 6	SALI	SERVICE/ARTS/LIGHT INDUSTRIAL	Industrial	SALI	40/55-X	South of Market	(37.77354537450, -122.40303983400)
APN 3612017A	CONSTRUCTION	10/07/2016	787 TREAT AV		3	1	0	0				201403170852	APARTMENTS	$90000.00	CHANGE OF OCCUPANCY R3 TO R2. AT 2/FL, DIVIDE 2/FL SPACE TO 2 SEPARATE UNITS WITH NEW KITCHEN, BATHROOM AND BEDROOM & STUDY.		Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				03/17/2014	BBENDIX	Mission (EN); Eastern Neighborhoods w/Valencia; Eastern Neighborhoods (Complete); Mission District Streetscape Plan		Adopted	Mission	SUPERVISORIAL DISTRICT 9	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	Residential	RH-3	40-X	Mission	"Y
(37.75767358620, -122.41331292300)"
APN 0118025	BP FILED	08/18/2016	788 GREEN ST		3	1	0	0				201608185406	APARTMENTS	$20000.00	LEGALIZE A 2ND DWELLING UNIT AT THE GROUND FLOOR OF AN (E) 2-FAMILY 2-STORY DWELLING (PER SEC 207.3 ORD 43-14).		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				08/18/2016					Northeast	SUPERVISORIAL DISTRICT 3	RM-2	RESIDENTIAL- MIXED, MODERATE DENSITY	Residential	RM-2	40-X	Russian Hill	(37.79935494750, -122.41208727900)
APN 1607011D	BP FILED	02/05/2016	789 37TH AV		2	1	0	0			2016-002039PRJ	201602058918	2 FAMILY DWELLING	$240000.00	HORIZONTAL EXTENSION ADDITION, EXCAVATE LOWER LEVEL TO CREATE 2ND UNIT. EXTEND LOWER LEVEL & PARTIAL NORTHSIDE, ADD (N) OFFICE, BATHROOMS, REAR DECK ABOVE LOWER LEVEL EXTENSION. IMPROVE KITCHEN, ELECTRICAL, LIGHTING & FURNACE.		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				02/05/2016	ERUSSELL				Richmond	SUPERVISORIAL DISTRICT 1	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	RH-2	40-X	Outer Richmond	(37.77418311460, -122.49753956800)
APN 3707014	BP FILED	08/26/2016	79 NEW MONTGOMERY ST		0	0	0	0				201608266143	SCHOOL	$71000.00	"THIS PERMIT IS FOR A CHANGE OF USE FROM OFFICE TO OFFICE/POST SECONDARY EDUCAIONAL INSTITUTION.
** MAHER: N/A **"		CIE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				08/26/2016		Transit Center District; Downtown; Transit Center District Streetscape Plan		In Progress	Downtown	SUPERVISORIAL DISTRICT 6	C-3-O(SD)	DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT)	Commercial	C-3-O(SD)	150-S	Financial District	"Y
(37.78788971290, -122.40053532900)"
APN 3591024	PL FILED	01/14/2016	793 SOUTH VAN NESS AV		73	73	11	11			2015-001360PRJ			$0.00		the proposed project would demolish the existing gas station and construct a five-story residential building with ground floor retail space. The roof of the building would be 55 feet above street level, with roof deck, circulation penthouse, and mechanic	Mixres	0	4577	4577	0	0	0	0	0	0	0	0	4577	4577	0	0				07/23/2015	VBYRD	Mission (EN); Eastern Neighborhoods w/Valencia; Eastern Neighborhoods (Complete); Mission District Streetscape Plan		Adopted	Mission	SUPERVISORIAL DISTRICT 9	NC-3	NEIGHBORHOOD COMMERCIAL, MODERATE SCALE	Mixed Use	NC-3	55-X	Mission	"Y
(37.76067284260, -122.41670119600)"
APN 3603024	BP FILED	09/19/2014	799 CASTRO ST		1	1	0	0				201409196883	1 FAMILY DWELLING	$500000.00	ALTERATION OF EXISTING COMMERCIAL BUILDING - CONVERSION OF OCCUPANCY TO R-3. TO REPLACE 2012-08-30-8694S.  CHANGE OF USE , NEW ROOF DECK, ADD RESIDENTIAL KITCHEN, BATHS, BEDROOMS.		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bill Pashelinsky	Bill Pashelinsky	379-3676	09/19/2014	TWANG				Central	SUPERVISORIAL DISTRICT 8	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	RH-2	40-X	Castro/Upper Market	(37.75623617860, -122.43423782700)
APN 3569052	BP FILED	02/04/2014	8 RONDEL PL		2	2	0	0				201402047760	2 FAMILY DWELLING	$750000.00	ERECT A TWO FAMILY DWELLING RESIDENTIAL BUILDING.		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				02/04/2014	EJARDINE	Mission (EN); Eastern Neighborhoods w/Valencia; Eastern Neighborhoods (Complete); Mission District Streetscape Plan		Adopted	Mission	SUPERVISORIAL DISTRICT 9	RTO-M	RESIDENTIAL TRANSIT ORIENTED- MISSION	Residential	RTO-M	45-X	Mission	"Y
(37.76449129530, -122.42135077400)"
APN 1068003	CONSTRUCTION	12/22/2016	80 BLAKE ST		2	2	0	0				201306149612	2 FAMILY DWELLING	$1110000.00	ERECT NEW 4-STORY 2-FAMILY DWELLING BUILDING.		Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				06/14/2013	SYOUNG	Geary Corridor			Richmond	SUPERVISORIAL DISTRICT 2	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	RH-2	40-X	Presidio Heights	(37.78249894820, -122.45090981800)
APN 3547027	BP ISSUED	10/27/2011	80 JULIAN AV		9	9	0	-1			2009	201011305795	OFFICE	$2800000.00	ERECT 4 STORIES, TYPE 5, 7 BEDROOMS OUTPATIENT DENTAL/MEDICAL & CONGREGATE RESIDENCE BUILDING.	Lot line adjustment, demo existing residential building,  New construction of Community Facility having housing ground floor with commercial above.	Mixres	1	12900	12900	0	0	0	0	12900	12900	0	0	0	0	0	0	Cort Gross	Cort Gross	415-398-3137	11/30/2009	EOROPEZA	Mission (EN); Eastern Neighborhoods w/Valencia; Eastern Neighborhoods (Complete); Mission District Streetscape Plan		Adopted	Mission	SUPERVISORIAL DISTRICT 9	NCT	VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT	Mixed Use	NCT-VALENCIA	45-X	Mission	"Y
(37.76720514830, -122.42139240100)"
APN 6472008	BP FILED	10/02/2014	80 OLIVER ST		2	1	0	0				201410027943	2 FAMILY DWELLING	$123000.00	NEW UNIT @ GROUND FLOOR. 2 STORIES HORIZONTAL ADDITION @ REAR. ADD 2 BEDROOMS & 3 BATHROOMS & MEDIA ROOM & SITTING AREA.		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				10/02/2014	NKWIATKO				South Central	SUPERVISORIAL DISTRICT 11	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	Residential	RH-1	40-X	Crocker Amazon	(37.70848732670, -122.45023834300)
APN 7331003	CONSTRUCTION	12/22/2016	800 BROTHERHOOD WAY (UNDER CONSTRUCTION)	SUMMIT 800	49	49	0	0			2003			$0.00		The project site is currently an 8.15-acre parcel of vacant land.  The proposed project involves the subdivision of the site into 127 lots and the construction of 127 buildings, including 66 single-family homes, 39 two-unit buildings, and 22 three-unit b	Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				05/14/2003	AA CONV	Parkmerced			Ingleside	SUPERVISORIAL DISTRICT 7	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	Residential	RM-1	40-X	Lakeshore	(37.71535854190, -122.47728056600)
APN 1680028	BP FILED	05/13/2015	846 38TH AV		3	1	0	0				201505136226	APARTMENTS	$60000.00	LEGALIZE AS BUILT UNIT ON 1ST FLOOR PER PLANS (LIVING ROOM, KITCHEN, ONE BATHROOM AND ONE BEDROOM - UNIT LEGALIZATION ORDINANCE 43-14		Resident	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				05/13/2015	MPUTRA				Richmond	SUPERVISORIAL DISTRICT 1	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	RH-2	40-X	Outer Richmond	(37.77292127620, -122.49785647500)
APN 1690032	BP REINSTATED	11/08/2011	836 48TH AV		2	1	0	0				200709072126	2 FAMILY DWELLING	$486000.00	Vertical addition: Add 2 additional stories, to include a penthouse level at (E) 2 story bldg. Submitted as Site permit appl.		Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				09/07/2007	SVELLVE	Western Shoreline			Richmond	SUPERVISORIAL DISTRICT 1	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	Residential	RH-2	40-X	Outer Richmond	(37.77260351560, -122.50857829800)
APN 4105009	CONSTRUCTION	12/27/2016	800 INDIANA ST	AVALON DOGPATCH	326	326	0	0	Fee Payment		2011	201406259383	APARTMENTS	$115000000.00	"TO ERECT 5 STORIES, 1 BASEMENT, 326 DWELLING UNITS RESIDENTIAL, PARKING, ACCESSORY USES BUILDING.
** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 REQUIRED; ROUTE TO DPH **"	The proposed project is the demolition of the existing Opera Warehouse and construction of a new 340-unit multi-family units and 294 parking spaces. The project would be constructed in six building with a semi subterraen parking garage.	Resident	1	0	-74847	0	0	0	0	0	0	0	-74847	0	0	0	0	Lou Vasquez	Joe Kirchofer	415-284-9080	12/07/2011	RSUCRE	Eastern Neighborhoods w/Valencia; Central Waterfront (EN); Eastern Neighborhoods (Complete); Dogpatch Public Realm Plan	Y	In Progress	South of Market	SUPERVISORIAL DISTRICT 10	UMU	URBAN MIXED USE	Mixed Use	UMU	58-X	Potrero Hill	(37.75919640420, -122.39172904800)
APN 1073013	CONSTRUCTION	01/03/2017	800 PRESIDIO AV	John Burton Foundation Housing Complex	50	50	50	50			2006	201204168406	APARTMENTS	$15000000.00	TO ERECT 5 STORIES, 50 UNITS COMMUNITY CENTER / HOUSING, MIXED USED BUILDING WITH 1 BASEMENT.	The proposed project would demolish the existing one-story community center and construct a new building consisting of 83 dwelling units (59 units of work-force housing and 21 units of affordable housing.), 21,500 sq. ft. community center on the ground f	Mixres	1	21500	10180	21500	10180	0	0	0	0	0	0	0	0	0	0	Patricia  Scott	Bre Martinez	510-267-4679	11/12/2008	MJACINTO				Richmond	SUPERVISORIAL DISTRICT 5	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	Residential	RM-1	40-X-55-X	Western Addition	(37.78404516050, -122.44574326100)
APN 3783001	CONSTRUCTION	01/03/2017	801 BRANNAN ST		434	434	55	55	On-site BMR Project	Rental	2012	201309045886	APARTMENTS	$127060484.00	"TO ERECT 6 STORIES, NO BASEMENT, 434 DWELLING UNITS, TYPE 1A & 3A, RESIDENTIAL/RETAIL/PARKING BUILDING. 
** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 NOT REQUIRED **"	Demolish an existing building (Concourse Exhibit Hall) containing 125,000 square feet of space and 280 surface parking spaces and construct new buildings extending up to 70 feet in height and containing 560 dwellings, 438 off-street parking space, and 8,	Mixres	1	31420	-133129	0	0	0	0	0	0	0	-164549	31420	31420	0	0	Bay West	Robert Me	415 788-2	05/31/2012	JKUGLER	Eastern Neighborhoods w/Valencia; Showplace Square/Potrero Hill (EN); Eastern Neighborhoods (Complete)			South of Market	SUPERVISORIAL DISTRICT 6	UMU	URBAN MIXED USE	Mixed Use	UMU	68-X	South of Market	(37.77182385700, -122.40388263400)
APN 0798057	PL APPROVED	02/13/2014	802-808 STEINER ST (BLDG 1 OF 3)	802 STEINER ST	3	3	0	0			2014	201109144613	1 FAMILY DWELLING	$1388000.00	"TO ERECT 4 STORIES, 3 UNIT RESIDENTIAL BUILDING. AS ""802 STEINER STREET, BLOCK 0798, LOT 057"""		Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				01/03/2014					Western Addition	SUPERVISORIAL DISTRICT 5	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	Residential	RH-3	40-X	Western Addition	(37.77688346490, -122.43275646000)
APN 0798056	PL APPROVED	02/13/2014	802-808 STEINER ST (BLDG 2 OF 3)	804 STEINER ST	3	3	0	0			2014	201109144615	1 FAMILY DWELLING	$1388000.00	"TO ERECT 4 STORIES, 3 UNIT RESIDENTIAL BUILDING.  AS ""806 STEINER STREET, BLOCK 0798, LOT 056"""		Resident	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				01/03/2014					Western Addition	SUPERVISORIAL DISTRICT 5	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	Residential	RH-3	40-X	Western Addition	(37.77695667690, -122.43277127100)
