PROJECT_TYPE	APN	NAMEADDR	Alias	BESTSTAT	BESTDATE	Entitlement	UNITS	NET_UNITS	AFF_UNITS	NET_AFF_UNITS	BP_APPLNO	BP_DESC	PROPUSE	PLN_CASENO	PLN_DESC	TOTAL_GSF	NET_GSF	CIE	NET_CIE	MED	NET_MED	MIPS	NET_MIPS	PDR	NET_PDR	RET	NET_RET	VISIT	NET_VISIT	FirstFiled	APPLICANT	CONTACT	CONTACTPH	PLANNER	NEIGHBORHOOD	SOURCE	SUPE_DISTRICT	PLAN_DISTRICT	PLAN_AREA	HEIGHT_DISTRICT	ZONING_SIM	ZONING_DISTRICT	Location
Resident	APN 0927024	3336 BRODERICK ST		BP FILED	01/07/2015	0	3	1	0	0	201501075157	LEGALIZATION OF IN-LAW UNIT.	APARTMENTS			0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/07/2015					Marina	PERMIT TRACKING	SUPERVISORIAL DISTRICT 2	Marina		40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	(37.80126852510, -122.44449129200)
Resident	APN 7279041	34 COUNTRY CLUB DR		BP FILED	01/27/2015	0	2	1	0	0	201501276733	LEGALIZE IN-LAW UNIT @ 1ST FLOOR PER  ORDINANCE 43-14.	2 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/27/2015					Lakeshore	PERMIT TRACKING	SUPERVISORIAL DISTRICT 7	Ingleside		40-X	RH-1(D)	RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED	(37.72986839460, -122.49508721700)
Resident	APN 5701011	462 PRENTISS ST		BP FILED	02/12/2015	0	1	1	0	0	201502128133	ERECT 3-STORY, TYPE 5, SINGLE FAMILY DWELLING UNITS.	1 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	02/12/2015					Bernal Heights	PERMIT TRACKING	SUPERVISORIAL DISTRICT 9	Bernal Heights		40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	(37.73747247100, -122.41238786700)
Resident	APN 1867036	1526 22ND AV		BP FILED	04/30/2015	0	2	1	0	0	201504305082	UNIT LEGALIZATION ORDINANCE 43-14. NEW 20 MIN FIRE DOOR, NEW GFCI OUTLET AT GROUND FLOOR KITCHEN COU	2 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	04/30/2015					Outer Sunset	PERMIT TRACKING	SUPERVISORIAL DISTRICT 4	Outer Sunset		40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	(37.75914994450, -122.47970869300)
Resident	APN 0861034	609 HAIGHT ST		BP FILED	06/29/2015	0	3	1	0	0	201506290179	CHANGE OF USE - CREATE NEW RESIDENTIAL UNIT WITHIN EXTG UNOCCUPIED GROUND FLOOR. NO STRUCTURE WORK.	APARTMENTS			0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/29/2015					Western Addition	PERMIT TRACKING	SUPERVISORIAL DISTRICT 5	Buena Vista		40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	(37.77162352320, -122.43239659900)
Resident	APN 2752024	331 COLLINGWOOD ST		BP FILED	10/10/2014	0	2	1	0	0	201410108695	VERTICAL & HORIZONTAL ADDITION. LEGALIZE (E) 2ND DWELLING.	2 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	10/10/2014					Castro/Upper Market	PERMIT TRACKING	SUPERVISORIAL DISTRICT 8	Central		40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	(37.75707411000, -122.43543706900)
Resident	APN 6978069	1 EDGAR AV		BP FILED	05/08/2015	0	1	1	0	0	201505085755	CONSTRUCT (N) 3-STORY SINGLE FAMILY DWELLING UNIT	1 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/08/2015					Ocean View	PERMIT TRACKING	SUPERVISORIAL DISTRICT 11	Ingleside		40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	(37.72039399170, -122.45252132300)
Resident	APN 6685006A	240 CHENERY ST		BP FILED	04/15/2015	0	2	1	0	0	201504153735	FRONT BLDG. ERECT 3-STORY, 1 BASEMENT, TYPE 5, 1 DWELLING UNIT BUILDING.	1 FAMILY DWELLING	2015-003919PRJ	Repair and renovation with a horizontal addition to an existing non-conforming unit within the rear yard.  Repairs are required due to fire damage.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	03/27/2015	MAK Studio		4158615646	MBOUDREA	Glen Park	CASE TRACKING	SUPERVISORIAL DISTRICT 8	Central		40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	(37.73833989470, -122.42656623700)
Resident	APN 3618092	978 - 980 GUERRERO ST		BP FILED	02/17/2015	0	3	1	0	0	201502178455	CONVERSION OF (E) BASEMENT & CRAWL SPACE INTO 3RD DWELLING UNIT.  CREATION OF SUNKEN TERRACE FOR (N) DWELLING UNIT W/IN REAR YARD, RECONSTRUCT REAR STAIR FROM TOP FL UNIT TO ACCOMMODATE SUNKEN TERRACE, ALTERATIONS TO FRONT YARD TO ACCOMMODAT FRONT ENTRY	APARTMENTS	2014.1363	Variance request to the rear yard requirement of an existing NCU two unit residential structure.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	09/05/2014	Brian Kaufman			RSUCRE	Mission	CASE TRACKING	SUPERVISORIAL DISTRICT 8	Mission		40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	(37.75553060370, -122.42356322600)
Resident	APN 5521015	44 AZTEC ST		BP FILED	06/24/2015	0	1	1	0	0	201506249730	ERECT A 3 STORIES OF A SINGLE FAMILY DWELLING	1 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/24/2015					Bernal Heights	PERMIT TRACKING	SUPERVISORIAL DISTRICT 9	Bernal Heights		40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	(37.74535912440, -122.41552579500)
Resident	APN 2609066	100 ALPINE TERRACE		PL APPROVED	03/12/2015	-1	1	1	0	0				2014-002093PRJ	New construction of a single family dwelling on an existing lot containing only a 3 stall garage used as storage.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11/25/2014				DWASHING	Castro/Upper Market	CASE TRACKING	SUPERVISORIAL DISTRICT 8	Buena Vista		40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	(37.76889953610, -122.43776414600)
Resident	APN 3639009	2643 FOLSOM ST		PL FILED	04/16/2015	0	3	1	0	0				2015-004771PRJ	Demolition of an accessory storage structure within the rear yard.  New construction of a single dwelling unit on the previous storage structure location within the rear yard.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	04/16/2015	Troy Kashanipour Architecture		4154310869	JDISALVO	Mission	CASE TRACKING	SUPERVISORIAL DISTRICT 9	Mission	Mission (EN)	40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	(37.75501343210, -122.41395951500)
Resident	APN 5305001	1701 MCKINNON AVE		BP ISSUED	01/14/2016	-1	2	1	0	0	200806023360	TO ERECT A NEW 3 STORY ONE FAMILY DWELLING BUILDING.	1 FAMILY DWELLING	2015-001505PRJ	Subdivide existing lot to permit new construction on separate lot of another single family dwelling.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/02/2008		ALGHAZALI ABDULSALAM HAMOOD		JDISALVO	Bayview	CASE TRACKING	SUPERVISORIAL DISTRICT 10	South Bayshore	Bayview Hunters Point	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	(37.73682664960, -122.39139047400)
Resident	APN 1758046	1308 04TH AV		BP FILED	03/25/2015	0	3	1	0	0	201503251826	LEGALIZATION OF DWELLING UNIT INSTALLED WITHOUT A PERMIT. REFERENCE BPA 2006-04-19-9300.  NEW HIGHT	APARTMENTS			0	0	0	0	0	0	0	0	0	0	0	0	0	0	03/25/2015					Inner Sunset	PERMIT TRACKING	SUPERVISORIAL DISTRICT 5	Inner Sunset		40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	(37.76407454010, -122.46065808900)
Resident	APN 5744016	339 CRESCENT AV		BP FILED	10/01/2014	0	1	1	0	0	201410017778	TO ERECT 3 STORIES, NO BASEMENT, SINGLE FAMILY DWELLING.	1 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	10/01/2014					Bernal Heights	PERMIT TRACKING	SUPERVISORIAL DISTRICT 9	Bernal Heights		40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	(37.73516711870, -122.41790543000)
Resident	APN 7008038	466 VICTORIA ST		BP FILED	03/03/2015	0	2	1	0	0	201503039823	"LEGALIZATION OF (E) UNAUTHORIZED ""IN LAW"" DWELLING UNIT AT 1/F ADD A REAR DECK."	2 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	03/03/2015					Ocean View	PERMIT TRACKING	SUPERVISORIAL DISTRICT 11	Ingleside		40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	(37.71912005940, -122.46507947400)
Resident	APN 1878002C	1563 32ND AV		BP ISSUED	12/22/2015	-1	2	1	0	0	201501145739	FORMAL LEGALIZATION OF THE (E) UNAUTHORIZED DWELLING ON GROUND FL. AFTER PERMIT APPLN #200201298019	2 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/14/2015					Outer Sunset	PERMIT TRACKING	SUPERVISORIAL DISTRICT 4	Outer Sunset		40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	(37.75803661220, -122.49103945000)
Resident	APN 1579017D	672 37TH AV		BP FILED	03/31/2015	0	3	1	0	0	201503312337	LEGALIZE IN-LAW UNIT @ 1ST FLOOR PER ORDINANCE# 43-14. ADD 2 NEW BEDROOMS & 1 BATHROOM.	APARTMENTS			0	0	0	0	0	0	0	0	0	0	0	0	0	0	03/31/2015					Outer Richmond	PERMIT TRACKING	SUPERVISORIAL DISTRICT 1	Richmond		40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	(37.77628631590, -122.49703278500)
Resident	APN 1577001A	607 34TH AV		BP FILED	01/16/2015	0	2	1	0	0	201501165971	LEGALIZE DWELLING UNIT AT GROUND FLOOR PER ORDIANCE NO. 43-14.	2 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/16/2015					Outer Richmond	PERMIT TRACKING	SUPERVISORIAL DISTRICT 1	Richmond		40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	(37.77750055580, -122.49447443500)
Resident	APN 1569015	2514 BALBOA ST		BP REINSTATED	02/04/2015	-1	2	1	0	0	201501286899	VERTICAL & HORIZONTAL ADDITION, CHANGE FROM SINGLE FAMILY TO 2 RESIDENTIAL UNIT BUILDING.	2 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/28/2015					Outer Richmond	PERMIT TRACKING	SUPERVISORIAL DISTRICT 1	Richmond		40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	(37.77648108370, -122.48597919700)
Resident	APN 1549034	550 07TH AV		BP FILED	03/19/2015	0	2	1	0	0	201503191389	CONSTRUCT NEW 3 STORY REAR HORIZONTAL WITH NEW MASTER BEDROOM. ADD NEW RESIDENTIAL  UNIT, ADD 1 NEW	2 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	03/19/2015					Inner Richmond	PERMIT TRACKING	SUPERVISORIAL DISTRICT 1	Richmond		40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	(37.77809857770, -122.46481842000)
Resident	APN 1598020	4524 CABRILLO ST		BP FILED	03/31/2015	0	2	1	0	0	201503312346	LEGALIZE IN-LAW UNIT @ 1ST FLOOR PER ORDINANCE# 43-14. ADD 2 BEDROOMS, 1 BATHROOM & 1 KITCHEN.	2 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	03/31/2015					Outer Richmond	PERMIT TRACKING	SUPERVISORIAL DISTRICT 1	Richmond	Western Shoreline	40-X	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	(37.77361786050, -122.50732182700)
Resident	APN 0793009	428 GROVE ST		CONSTRUCTION	01/12/2016	-1	2	1	0	0	201503241678	TO LEGALIZE THE (E) IN-LAW INTO 2 FAMILY RESIDENCE. ORDINANCE# 43-14. 1 BEDROOM, 1 BATH & 1 KITCHEN	2 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	03/24/2015					Western Addition	PERMIT TRACKING	SUPERVISORIAL DISTRICT 5	Western Addition	Market and Octavia	40-X	NCT-3	MODERATE SCALE NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT	(37.77793251480, -122.42374777100)
Resident	APN 1582001B	611 39TH AV		BP FILED	03/06/2015	0	2	1	0	0	201503060214	"GROUND FL PARTIAL GARAGE AREA CONVERSION TO IN-LAW. FRONT ATTIC ROOF PORTION (15'-0"") SETBACK. ADD D"	2 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	03/06/2015					Outer Richmond	PERMIT TRACKING	SUPERVISORIAL DISTRICT 1	Richmond		40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	(37.77718626960, -122.49982028800)
Resident	APN 0753010	1594 GOLDEN GATE AV		BP ISSUED	09/16/2015	-1	3	1	0	0	201502249184	CONVERT COMMERCIAL UNIT INTO RESIDENTIAL APARTMENT. CONERSION INCLUDES: 1 BEDROOM, 1 BATHROOM, 1 KIT	APARTMENTS			0	0	0	0	0	0	0	0	0	0	0	0	0	0	02/24/2015					Western Addition	PERMIT TRACKING	SUPERVISORIAL DISTRICT 5	Western Addition		40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	(37.77921261190, -122.43676834600)
Resident	APN 2936A026	56 ROCKWOOD CT		BP ISSUED	09/22/2015	-1	2	1	0	0	201505015186	RESPOND TO COMPLAINT# 201524902 TO LEGALIZE 2ND DWELLING UNIT UNDER ORDINANCE NO# 43-14 TO INCLUDE 1	2 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/01/2015					West of Twin Peaks	PERMIT TRACKING	SUPERVISORIAL DISTRICT 7	Inner Sunset		40-X	RH-1(D)	RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED	(37.74314672560, -122.45753596300)
Resident	APN 1719012	1200 32ND AV		BP ISSUED	09/04/2015	-1	2	1	0	0	201501155871	LEGALIZATION UNIT PER ORDINANCE 43-14. LEGALIZE AS-BUILD KITCHEN ON 1ST FLOOR PER PLAN AS 2ND UNIT.	2 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/15/2015					Outer Sunset	PERMIT TRACKING	SUPERVISORIAL DISTRICT 4	Outer Sunset		40-X	RH-1(D)	RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED	(37.76467478410, -122.49089755500)
Resident	APN 5319028	1987 OAKDALE AV		BP FILED	05/12/2015	0	2	1	0	0	201505126143	ADD 202 SQ FT HORIZONTAL EXTENSION TO REAR OF RESIDENCE. 1 BEDROOM, 1 KITCHEN, 1 BATHROOM. NO VERTIC	2 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/12/2015					Bayview	PERMIT TRACKING	SUPERVISORIAL DISTRICT 10	South Bayshore	Bayview Hunters Point	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	(37.73848785820, -122.39773367800)
Resident	APN 6087025	427 LISBON ST		BP FILED	03/16/2015	0	2	1	0	0	201503160972	LEGALIZE IN-LAW UNIT ON 1ST FLOOR AS PER ORDINANCE 43-14. 1 BEDROOM, 1 BATH & 1 KITCHEN. REPLACE PAR	2 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	03/16/2015					Excelsior	PERMIT TRACKING	SUPERVISORIAL DISTRICT 11	South Central		40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	(37.72142468810, -122.43369946700)
Resident	APN 6484024	1160 PRAGUE ST		CONSTRUCTION	10/08/2015	-1	2	1	0	0	201503302274	LEGALIZE (E) UNAUTHORIZED UNIT PER SF ORDINANCE#43-14. ADD INSULATION, VERIFY ELECTRICAL GFI, ALTER	2 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	03/30/2015					Crocker Amazon	PERMIT TRACKING	SUPERVISORIAL DISTRICT 11	South Central		40-X	RH-1(D)	RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED	(37.71027135630, -122.43908736700)
Resident	APN 1675016	844 33RD AV		BP FILED	03/19/2015	0	3	1	0	0	201503191386	TO COMPLY WITH NOV #201470021 - LEGALIZE IN-LAW UNIT ST GROUND FLOOR AT REAR OF GARAGE AREA.	APARTMENTS			0	0	0	0	0	0	0	0	0	0	0	0	0	0	03/19/2015					Outer Richmond	PERMIT TRACKING	SUPERVISORIAL DISTRICT 1	Richmond		40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	(37.77323424370, -122.49250925300)
Resident	APN 1667024	4820 FULTON ST		BP FILED	03/12/2015	0	2	1	0	0	201503120626	CONVERT(E)GROUND FL GARAGE & STORAGE TO GARAGE & SEPARATE DWELLING UNIT BY BLDG(E)INTERIOR GARAGE SP	2 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	03/12/2015					Outer Richmond	PERMIT TRACKING	SUPERVISORIAL DISTRICT 1	Richmond		40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	(37.77284883210, -122.48358719500)
Resident	APN 1604003I	779 40TH AV		BP ISSUED	07/21/2015	-1	2	1	0	0	201502178476	LEGALIZATION OF DWELLING UNIT. ORDINANCE: 43-14. TO PROVIDE BICYCLE PARKING. TO INSTALL SELF-CLOSING	2 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	02/17/2015					Outer Richmond	PERMIT TRACKING	SUPERVISORIAL DISTRICT 1	Richmond		40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	(37.77410670740, -122.50070929000)
Resident	APN 7277044	189 COUNTRY CLUB DR		BP APPROVED	12/03/2015	-1	2	1	0	0	201501135623	LEGALIZE AS BUILD KITCHEN ON 1ST FLOOR PER PLANS AS 2ND UNIT	2 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/13/2015					Lakeshore	PERMIT TRACKING	SUPERVISORIAL DISTRICT 7	Ingleside		40-X	RH-1(D)	RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED	(37.73141990810, -122.49679096700)
Resident	APN 1419007	239 14TH AV		BP FILED	01/12/2015	0	2	1	0	0	201501125418	VERTICAL & HORIZONTAL ADDITION. CONVERT GROUND FLR LIVING SPACE TO A NEW UNIT INCLUDING THREE BEDROO	2 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/12/2015					Inner Richmond	PERMIT TRACKING	SUPERVISORIAL DISTRICT 1	Richmond		40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	(37.78358022610, -122.47340613300)
Resident	APN 2619066	24 ORD CT		BP FILED	10/21/2013	0	2	1	0	0	201310219830	ERECT 4-STORY, 1 UNIT, TYPE 5, RESIDENTIAL BUILDING.	1 FAMILY DWELLING	2013.1522	Variance request to the rear yard requirement of P.C. Sec. 134 to permit the construction of a second dwelling unit within the rear yard.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10/18/2013	Kenneth Tam	Aidin Massoudi	415-922-0200	TWANG	Castro/Upper Market	CASE TRACKING	SUPERVISORIAL DISTRICT 8	Buena Vista		40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	(37.76394436140, -122.44061640300)
Resident	APN 3139013	442 STAPLES AV		BP ISSUED	12/31/2015	-1	2	1	0	0	201507242419	LEGALIZE IN-LAW UNIT PER ORDINANCE #43-14 LOWER SLAB REMODEL BATH & KITCHEN WITH GREAT ROOM.	2 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/24/2015					Outer Mission	PERMIT TRACKING	SUPERVISORIAL DISTRICT 7	Ingleside		40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	(37.72931279890, -122.45188266800)
Resident	APN 3604016	3720 21ST ST		BP FILED	07/03/2015	0	2	1	0	0	201507030638	CHANGE OF USE FOR SINGLE FAMILY TO 2 FAMILY DWELLING. ADD ADDITIONAL UNIT PER ORDINANCE #49-14, ADD	2 FAMILY DWELLING	2015-009178PRJ		0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/03/2015					Castro/Upper Market	PERMIT TRACKING	SUPERVISORIAL DISTRICT 8	Central		40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	(37.75657161330, -122.43067265300)
Resident	APN 0134025	1148 MONTGOMERY ST		BP FILED	06/22/2015	0	3	1	0	0	201506229509	(REAR BLDG). LEGALIZE A PREVIOUSLY EXISTING NON CONFORMING DWELLING UNIT AS PER 43-14. UNIT A IN THE	APARTMENTS			0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/22/2015					North Beach	PERMIT TRACKING	SUPERVISORIAL DISTRICT 3	Northeast		40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	(37.79989251310, -122.40395299900)
Resident	APN 3648033	3669 - 3671 23RD ST		PL FILED	07/28/2015	0	3	1	0	0				2015-009605PRJ	Interior modifications to create a new dwelling unit in the garage of the existing structure.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/28/2015			4157245240	VFLORES	Mission	CASE TRACKING	SUPERVISORIAL DISTRICT 8	Mission		40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	(37.75330422850, -122.42457790900)
Resident	APN 3640079	3040 24TH ST		BP FILED	12/17/2013	0	1	1	0	0	201312174396	TO ERECT 3-STORIES, NO BASEMENT, MIXED-USE NEW BUILDING.	1 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/17/2013					Mission	PERMIT TRACKING	SUPERVISORIAL DISTRICT 9	Mission	Mission (EN)	45-X	NCT	24TH-MISSION NEIGHBORHOOD COMMERCIAL TRANSIT	(37.75276528540, -122.41277459400)
Resident	APN 3621081	3721 21ST ST		BP ISSUED	05/26/2015	-1	1	1	0	0	201312134205	"TO ERECT 3 STORIES OF ONE SINGLE FAMILY DWELLING
"	1 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/13/2013					Noe Valley	PERMIT TRACKING	SUPERVISORIAL DISTRICT 8	Central		40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	(37.75608131970, -122.43063720500)
Resident	APN 0028006E	2624 LEAVENWORTH ST		BP FILED	08/10/2015	0	3	1	0	0	201508103759	ADD GARAGE LEVEL APARTMENT. N/A ORDINANCE #155-13	APARTMENTS			0	0	0	0	0	0	0	0	0	0	0	0	0	0	08/10/2015					Russian Hill	PERMIT TRACKING	SUPERVISORIAL DISTRICT 2	Northeast	Fisherman's Wharf / Northeast Waterfront	40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	(37.80539806780, -122.41834171500)
Resident	APN 0187036	1355 JACKSON ST		BP FILED	08/06/2015	0	3	1	0	0	201508063611	LEGALIZE EXISTING MANAGER UNIT PER SF ORDINANCE #43-14, BRING INTO COMPLIANCE PER EQUIVALENCIES ALLO	APARTMENTS	2015-010888PRJ		0	0	0	0	0	0	0	0	0	0	0	0	0	0	08/06/2015					Nob Hill	PERMIT TRACKING	SUPERVISORIAL DISTRICT 3	Northeast		65-A	RM-3	RESIDENTIAL- MIXED, MEDIUM DENSITY	(37.79439413080, -122.41718901200)
Resident	APN 5545017	1551 SHOTWELL ST		BP FILED	12/30/2013	0	1	1	0	0	201312305292	TO ERECT 2 STORIES OF SINGLE FAMILY DWELLING.	1 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/30/2013					Bernal Heights	PERMIT TRACKING	SUPERVISORIAL DISTRICT 9	Bernal Heights		40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	(37.74459823410, -122.41464132700)
Resident	APN 2619067	22 ORD CT		BP FILED	10/21/2013	-1	2	1	0	0	201310219817	REAR BLDG. ERECT 4-STORY, 1 UNIT, TYPE 5, RESIDENTIAL BUILDING.	1 FAMILY DWELLING	2013.1521	Variance request to the rear yard requirement of P.C. Sec. 134 to permit the construction of a second dwelling unit within the rear yard.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10/18/2013	Kenneth Tam	Aidin Massoudi	415-922-0200	TWANG	Castro/Upper Market	CASE TRACKING	SUPERVISORIAL DISTRICT 8	Buena Vista		40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	(37.76390777710, -122.44054321900)
Resident	APN 5545019	1525 SHOTWELL ST		BP FILED	12/30/2013	0	1	1	0	0	201312305280	TO ERECT 3 STORIES OF 1 FAMILY DWELLING	1 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/30/2013					Bernal Heights	PERMIT TRACKING	SUPERVISORIAL DISTRICT 9	Bernal Heights		40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	(37.74473515120, -122.41465452600)
Mixres	APN 0194004	827 KEARNY ST		PL FILED	07/29/2015	0	1	1	0	0				2014.0401	Demolition of an existing 2 story commercial building built in 1922 and construction of new 4 story over partial basement mixed-use building totaling approximately 11,320 sq. ft. .  The proposed project would contain approximately 1,880 sq.ft. of commerc	8795	2820	6915	6915	0	0	0	0	0	0	1880	-4095	0	0	03/14/2014	Christine Yee				Chinatown	CASE TRACKING	SUPERVISORIAL DISTRICT 3	Northeast	Chinatown	65-N	CCB	CHINATOWN-COMMUNITY BUSINESS	(37.79568626350, -122.40535562200)
Resident	APN 0948029	2855 FILBERT ST		BP FILED	10/04/2013	0	1	1	0	0	201310048576	ERECT TYPE 5 3-STORY SINGLE FAMILY RESIDENCE.	1 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	10/04/2013					Marina	PERMIT TRACKING	SUPERVISORIAL DISTRICT 2	Marina		40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	(37.79637997420, -122.44645778300)
Resident	APN 0944030	2582 FILBERT ST		BP ISSUED	07/01/2015	-1	1	1	0	0	201404143170	ERECT 3 STORIES, 1 SINGLE FAMILY, TYPE 5.		2013.1748	Construct a 3 story single family dwelling on an empty lot.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11/27/2013	Charles Olson	Charles Olson	415-981-0550	CJUNG	Marina	CASE TRACKING	SUPERVISORIAL DISTRICT 2	Marina		40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY	(37.79752955450, -122.44186361600)
Resident	APN 6601032	369 DUNCAN ST		BP FILED	06/10/2015	0	2	1	0	0	201506108657	SEISMIC UPGRADE, REMODEL & ADDITION TO (E) 2 STORY SINGLE FAMILY RES'D. 1ST FL. ADD (N) 2ND UNIT( ST	2 FAMILY DWELLING			0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/10/2015					Noe Valley	PERMIT TRACKING	SUPERVISORIAL DISTRICT 8	Central		40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	(37.74576943970, -122.42828747400)
Mixres	APN 0515031	2251 GREENWICH ST		BP REINSTATED	07/08/2015	-1	1	1	0	0	201312204680	ERECT NEW FIRE STATION	SFPD OR SFFD STATION			5749	5749	0	0	0	0	0	0	5749	5749	0	0	0	0	12/20/2013					Marina	PERMIT TRACKING	SUPERVISORIAL DISTRICT 2	Marina		40-X	P	PUBLIC	(37.79858184830, -122.43672028800)
