PROJECT_TYPE	APN	NAMEADDR	Alias	BESTDATE	BESTSTAT	Entitlement	PLN_CASENO	PLN_DESC	BP_APPLNO	BP_DESC	COST	PROPUSE	UNITS	NET_UNITS	AFF_UNITS	NET_AFF_UNITS	RET	NET_RET	MIPS	NET_MIPS	PDR	NET_PDR	MED	NET_MED	CIE	NET_CIE	VISIT	NET_VISIT	FirstFiled	APPLICANT	CONTACT	CONTACTPH	NEIGHBORHOOD	PLAN_AREA	PLAN_DISTRICT	SUPE_DISTRICT	HEIGHT_DISTRICT	ZONING	ZONING_DISTRICT	PLANNER	LOCATION
Resident	APN 3603024	799 CASTRO STREET		09/19/2014	BP FILED	0			201409196883	ALTERATION OF EXISTING COMMERCIAL BUILDING - CONVERSION OF OCCUPANCY TO R-3. TO REPLACE 2012-08-30-8	$850000.00		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	09/19/2014	Bill Pashelinsky	Bill Pashelinsky	379-3676	Castro/Upper Market		Central	SUPERVISORIAL DISTRICT 8	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	TWANG	(37.7562361785, -122.434238)
Resident	APN 3569052	8 RONDEL PL		02/04/2014	BP FILED	0			201402047760	ERECT A TWO FAMILY DWELLING RESIDENTIAL BUILDING.	$750000.00	2 FAMILY DWELLING	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	02/04/2014				Mission	Mission (EN)	Mission	SUPERVISORIAL DISTRICT 9	45-X	RTO-M	RESIDENTIAL TRANSIT ORIENTED- MISSION		(37.7644912963, -122.421351)
Resident	APN 1068003	80 BLAKE ST		12/11/2015	BP ISSUED	-1			201306149612	ERECT NEW 4-STORY 2-FAMILY DWELLING BUILDING.	$745000.00	2 FAMILY DWELLING	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/14/2013				Presidio Heights		Richmond	SUPERVISORIAL DISTRICT 2	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY		(37.7824989491, -122.450910)
Mixres	APN 3547027	80 JULIAN AV		10/27/2011	BP ISSUED	-1	2009.1095	Lot line adjustment, demo existing residential building,  New construction of Community Facility having housing ground floor with commercial above.	201011305795	ERECT 4 STORIES, TYPE 5, 7 BEDROOMS OUTPATIENT DENTAL/MEDICAL & CONGREGATE RESIDENCE BUILDING.	$2240000.00		9	9	0	-1	0	0	12900	12900	0	0	0	0	0	0	0	0	11/30/2009	Cort Gross	Cort Gross	415-398-3137	Mission	Mission (EN)	Mission	SUPERVISORIAL DISTRICT 9	45-X	NCT-VALENCIA	VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT	EOROPEZA	(37.7672051483, -122.421392)
Resident	APN 6472008	80 OLIVER ST		10/02/2014	BP FILED	0			201410027943	NEW UNIT @ GROUND FLOOR. 2 STORIES HORIZONTAL ADDITION @ REAR. ADD 2 BEDROOMS & 3 BATHROOMS & MEDIA	$123000.00	2 FAMILY DWELLING	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10/02/2014				Crocker Amazon		South Central	SUPERVISORIAL DISTRICT 11	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY		(37.7084873258, -122.450238)
Resident	APN 3576076	80 SYCAMORE ST		08/02/2012	BP FILED	-1	2013.0171	Variance request to the exposure requirements of P. C. Section 140 to accomodate a third unit with exposure to open space of less than 25' via Clarion Alley.	201208026449	Add/legalize (n) 3rd. unit @ ground floor to existing tow units building.	$35000.00	APARTMENTS	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	08/02/2012				Mission	Mission (EN)	Mission	SUPERVISORIAL DISTRICT 9	45-X	RTO-M	RESIDENTIAL TRANSIT ORIENTED- MISSION		(37.7627991082, -122.421058)
Resident	APN 4105009	800 INDIANA ST		10/09/2015	BP ISSUED	-1	2011.1374	The proposed project is the demolition of the existing Opera Warehouse and construction of a new 340-unit multi-family units and 294 parking spaces. The project would be constructed in six building with a semi subterraen parking garage.	201406259383	TO ERECT 5 STORIES, 1 BASEMENT, 326 DWELLING UNITS RESIDENTIAL, PARKING, ACCESSORY USES BUILDING. ** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 REQUIRED; ROUTE TO DPH **	$115000000.00	APARTMENTS	326	326	0	0	0	0	0	0	0	-74847	0	0	0	0	0	0	10/10/2013	Lou Vasquez	Joe Kirchofer	415-284-9080	Potrero Hill	Central Waterfront (EN)	South of Market	SUPERVISORIAL DISTRICT 10	58-X	UMU	URBAN MIXED USE	RSUCRE	(37.7591964033, -122.391729)
Mixres	APN 1073013	800 PRESIDIO AV		03/21/2016	CONSTRUCTION	-1	2006.0868	The proposed project would demolish the existing one-story community center and construct a new building consisting of 83 dwelling units (59 units of work-force housing and 21 units of affordable housing.), 21,500 sq. ft. community center on the ground f	201204168406	TO ERECT 5 STORIES, 50 UNITS COMMUNITY CENTER / HOUSING, MIXED USED BUILDING WITH 1 BASEMENT.	$18000000.00		83	83	83	83	0	0	0	0	0	0	0	0	21500	10180	0	0	11/12/2008	Patricia  Scott	Bre Martinez	510-267-4679	Western Addition		Richmond	SUPERVISORIAL DISTRICT 5	40-X-55-X	RM-1	RESIDENTIAL- MIXED, LOW DENSITY	MJACINTO	(37.7840451596, -122.445743)
Mixres	APN 3783001	801 BRANNAN ST		03/30/2016	CONSTRUCTION	-1	2012.0700	Demolish an existing building (Concourse Exhibit Hall) containing 125,000 square feet of space and 280 surface parking spaces and construct new buildings extending up to 70 feet in height and containing 560 dwellings, 438 off-street parking space, and 8,	201309045886	ERECT 6-STORY, 437 DWELLING UNITS, TYPE 1A& 3A, RESIDENTIAL/RETAIL/PAQRKING BUILDING.	$90000000.00	APARTMENTS	557	557	55	55	0	0	0	0	0	0	0	0	0	0	0	0	05/31/2012	Bay West	Robert Me	415 788-2	South of Market	Showplace Square/Potrero Hill (EN)	South of Market	SUPERVISORIAL DISTRICT 6	68-X	UMU	URBAN MIXED USE	JKUGLER	(37.7718238561, -122.403883)
Resident	APN 6758032	807 BOSWORTH ST		05/15/2015	BP ISSUED	-1	2014.0486	Add a second dwelling unit to the front of the log.	201306280702	DEMOL. (E) CONC. GARAGE IN FRONT OF LOT. CONST (N) SINGLE FAM RESIDENCE IN FRONT OF LOT LIVING KITCH	$200000.00	2 FAMILY DWELLING	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/28/2013	Paul Silberschatz Alyssa Sherman	David Bushnell	546-0450	Outer Mission		Ingleside	SUPERVISORIAL DISTRICT 8	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY	JLOOK	(37.7336698926, -122.436127)
Resident	APN 0744002	807 FRANKLIN ST		06/23/2015	PL FILED	0	2013.1224	The proposed project is the addition & alteration to a historic, single-family victorian home, including the removal of non-historic rear addition and expansion of penthouse and construction of a new 8-story, multi-family residential apartment building i			$13093388.00		50	49	5	5	0	0	0	0	0	0	0	0	0	0	0	0	04/08/2014	Toby Morris	Edward Morris	415 749-0302	Downtown/Civic Center		Western Addition	SUPERVISORIAL DISTRICT 5	80-B	RM-4	RESIDENTIAL- MIXED, HIGH DENSITY	SLAI	(37.7821201275, -122.422711)
Resident	APN 0151029	81 GLOVER ST		04/22/2013	BP FILED	0			201304225124	PROVIDE 2 APRTMENTS. 1ST FLR, NEW KITCHEN, RELOCATE(E) BATHROOM & CLOSET, ELIMINATE (E) STAIRWAY TO	$70000.00	2 FAMILY DWELLING	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	04/22/2013				Russian Hill		Northeast	SUPERVISORIAL DISTRICT 3	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY		(37.7969971593, -122.416514)
Resident	APN 3538036	81 NOE ST		10/01/2012	BP APPROVED	-1			201006023692	NO CONSTRUCTION WORK TO BE PERFORMED. BASEMENT UNIT TO BE LEGALIZED. (AS PER SECTION 151.1 OF SF PLA	$85000.00	APARTMENTS	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/02/2010				Castro/Upper Market	Market and Octavia	Buena Vista	SUPERVISORIAL DISTRICT 8	40-X	RTO	RESIDENTIAL TRANSIT ORIENTED DISTRICT		(37.7678968336, -122.433132)
Resident	APN 3642062	811 CAPP ST		11/20/2015	BP ISSUED	-1	2015-002248PRJ	Modification to the existing approved Variance 2012.0202V to permit the addition of a dwelling unit within the existing building envelope.	201210172213	TO COMPLY NOV#201170833 REFERENCE PA#2011-09-15-4679. REVISE BLDG 2 FT BY SISTERING NEW STUDS TO (E) STUDS. ADD SHEAR WALL PER DRAWINGS. LOWER LEVEL BUILD OUT W/ (N) KITCHEN & BATHRM UPSTAIRS.	$20000.00	1 FAMILY DWELLING	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10/17/2012		NEWDOLL ROBERT	4154128935	Mission	Mission (EN)	Mission	SUPERVISORIAL DISTRICT 9	40-X	RTO-M	RESIDENTIAL TRANSIT ORIENTED- MISSION	JSPEIRS	(37.7536912122, -122.417165)
Resident	APN 3613053	811 TREAT AV		06/12/2015	PL APPROVED	-1	2013.1853	Conditional Use Authorization and Variance request to add two additional units for a total of 7 units on the property and a variance to the rear yard requirement for the expansion of the existing garage to create an additional parking space.			$950000.00		7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/19/2013	San Francisco Developers, LLC	Bahman Ghassemzadeh	415-922-0200	Mission	Mission (EN)	Mission	SUPERVISORIAL DISTRICT 9	40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY	CTOWNES	(37.7568721178, -122.413083)
Resident	APN 1150005	813 LYON ST		05/07/2015	BP FILED	0			201505075705	HORIZONTAL & VERTICAL ADDITION TO (E) 2 STORY SINGLE FAMILY HOUSE. PROPOSED 2 ADDITIONAL RESIDENTIAL	$700000.00	APARTMENTS	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/07/2015				Western Addition		Western Addition	SUPERVISORIAL DISTRICT 5	40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY		(37.7785831115, -122.443924)
Resident	APN 4059001A	815 TENNESSEE ST		05/05/2014	BP FILED	-1	2013.0220	Demolition of the two-story 815-825 Tennessee buildings, retaining the brick facade on the corner of Tennessee & 19th Streets (listed as a known historic resource in the Central Watrefront Survey) and construction of a new 6-story apartment building with	201405054911	"TO ERECT 5 STORIES, 1 BASEMENT, 69 UNITS RESIDENTIAL WITH PARKING BUILDING.
** MAHER: COMPLIANCE WIT"	$25894165.00		69	69	10	10	0	0	0	0	0	-32000	0	0	0	0	0	0	12/06/2013	Nick Podell	Linsey Perlov	415-296-8800	Potrero Hill	Central Waterfront (EN)	South of Market	SUPERVISORIAL DISTRICT 10	58-X	UMU	URBAN MIXED USE	RSUCRE	(37.7612283764, -122.389251)
Resident	APN 6075001B	824 BRAZIL AV		04/17/2015	BP ISSUED	-1			201408063205	COVERT (E) STORAGE ROOM TO BE FAMILY ROOM, BED ROOM WITH FULL BATH & KITCHEN AT GROUND FLOOR. REMODE	$40000.00	2 FAMILY DWELLING	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	08/06/2014				Excelsior		South Central	SUPERVISORIAL DISTRICT 11	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY		(37.7212767885, -122.428108)
Resident	APN 4085003	824 FLORIDA ST		03/11/2015	BP FILED	0			201503110498	VERTICAL&HORIZONTAL ADDITION. ADD 3 STORIES. ADD 1 UNIT. ADD ROOF DECK. UNIT 1: 1&2/FL-3 BR & 2 1/2	$950000.00	2 FAMILY DWELLING	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	03/11/2015				Mission	Mission (EN)	Mission	SUPERVISORIAL DISTRICT 9	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY		(37.7586408659, -122.410910)
Resident	APN 1677004	827 34TH AV		03/07/2016	BP ISSUED	-1			201409095796	1ST FLOOR: CONVERT PORTION OF THE 1ST FLLOR TO A DWELLING UNIT# 1 INCLUDING HORIZONTAL ADDITION @ TH	$180000.00	2 FAMILY DWELLING	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	09/09/2014				Outer Richmond		Richmond	SUPERVISORIAL DISTRICT 1	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY		(37.7734295750, -122.494256)
Mixres	APN 0194004	827 KEARNY ST		07/29/2015	PL FILED	0	2014.0401	Demolition of an existing 2 story commercial building built in 1922 and construction of new 4 story over partial basement mixed-use building totaling approximately 11,320 sq. ft. .  The proposed project would contain approximately 1,880 sq.ft. of commerc			$0.00		1	1	0	0	1880	-4095	0	0	0	0	0	0	6915	6915	0	0	03/14/2014	Christine Yee			Chinatown	Chinatown	Northeast	SUPERVISORIAL DISTRICT 3	65-N	CCB	CHINATOWN-COMMUNITY BUSINESS		(37.7956862635, -122.405356)
Resident	APN 0026030	827 NORTH POINT ST		06/03/2014	CONSTRUCTION	-1	2013.1476		201111078462	ERECT NEW 4-STORY 3 DWELLING UNITS CONDO.	$850000.00	APARTMENTS	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11/07/2011				Russian Hill	Fisherman's Wharf; Northeast Waterfront	Northeast	SUPERVISORIAL DISTRICT 2	40-X	RH-3	RESIDENTIAL- HOUSE, THREE FAMILY		(37.8053690320, -122.420870)
Resident	APN 1675016	844 33RD AV		03/19/2015	BP FILED	0			201503191386	TO COMPLY WITH NOV #201470021 - LEGALIZE IN-LAW UNIT ST GROUND FLOOR AT REAR OF GARAGE AREA.	$19025.00	APARTMENTS	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	03/19/2015				Outer Richmond		Richmond	SUPERVISORIAL DISTRICT 1	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY		(37.7732342437, -122.492509)
Resident	APN 1680028	846 38TH AV		05/13/2015	BP FILED	0			201505136226	LEGALIZE ADDITIONAL UNIT AT 1ST FLOOR PER PLAN (LIVING ROOM, 1 BEDROOM, 1 KITCHEN AND 1 BATHROOM)UNI	$7000.00	APARTMENTS	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/13/2015				Outer Richmond		Richmond	SUPERVISORIAL DISTRICT 1	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY		(37.7729212753, -122.497856)
MIPS	APN 3786018	85 BLUXOME ST		11/02/2015	CONSTRUCTION	-1	2013.0007	Project involves demolition of existing two-story masonry building and construction of a new five-story office building.	201404072588	TO ERECT 5 STORIES OF OFFICE BUILDING - COMPLIANCE WITH MAHER ORDINANCE NO.155-13 REQUIRED ROUTE TO	$10000000.00		0	0	0	0	0	0	55000	55000	0	-27646	0	0	0	0	0	0	05/16/2013	Ricardo Pimienta	K. Cyrus Sanandaji	760-214-8753	South of Market	Central SoMa; Western SoMa (EN); South of Market	South of Market	SUPERVISORIAL DISTRICT 6	65-X	WMUO	WSOMA MIXED USE-OFFICE	BBENDIX	(37.7761049560, -122.397302)
Resident	APN 1691019	850 LA PLAYA		06/14/2011	PL FILED	0	2011.0667	The project consists of a phased development renovating an existing grocery store.  The first phase will involve the construction of a new 65,300 sq.ft. store in the area of an existing parking lot.  The existing store will then be demolished with underg			$0.00		45	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/14/2011				Outer Richmond	Western Shoreline	Richmond	SUPERVISORIAL DISTRICT 1	40-X	NC-S	NEIGHBORHOOD COMMERCIAL, SHOPPING CENTER		(37.7723548881, -122.509427)
Resident	APN 1689013	851 46TH AV		05/22/2015	BP FILED	0			201505227052	INTERIOR REMODEL & VERTICAL ADDITION TO 1-UNIT, 1-STORY, SINGLE FAMILY HOME. WORK WILL ADD AN ADDITI	$500000.00	2 FAMILY DWELLING	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/22/2015				Outer Richmond	Western Shoreline	Richmond	SUPERVISORIAL DISTRICT 1	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY		(37.7724255797, -122.507077)
Resident	APN 0119017	852 GREEN ST		04/18/2014	BP FILED	0			201404183603	PARTIAL THIRD FLOOR ADDITION FOR 3 NEW BEDROOMS, PARTIAL FOURTH FLOOR ADDITION FOR 1 NEW FAMILY ROOM	$425000.00	2 FAMILY DWELLING	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	04/18/2014				Russian Hill		Northeast	SUPERVISORIAL DISTRICT 3	40-X	RM-2	RESIDENTIAL- MIXED, MODERATE DENSITY		(37.7992711416, -122.413206)
Resident	APN 0073018B	853 LOMBARD ST		02/25/2016	BP Filed	0			201602250467	REVISE PA 2015-08-19-4706, CREATE 3RD UNIT- change of occupncy R-3 2 units to R-2 3 units. ADD EXIT	$20000.00	APARTMENTS	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	02/25/2016				Russian Hill		Northeast	SUPERVISORIAL DISTRICT 3	40-X	RM-1	RESIDENTIAL- MIXED, LOW DENSITY		(37.8022275049, -122.415517)
Resident	APN 3642041	854 CAPP ST		02/13/2015	BP FILED	0			201502138349	CONSTRUCT (N) 6-UNIT CONDO.	$1125000.00	APARTMENTS	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	02/13/2015				Mission	Mission (EN)	Mission	SUPERVISORIAL DISTRICT 9	40-X	RTO-M	RESIDENTIAL TRANSIT ORIENTED- MISSION		(37.7530069555, -122.417733)
Resident	APN 3733020A	854 FOLSOM ST		06/14/2010	BP ISSUED	-1			200909146733	Add one single story vertical addition of 1,650 sqft above the roof of the existinG 2- story office	$288750.00	1 FAMILY DWELLING	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	09/14/2009				South of Market	Central SoMa; Western SoMa (EN); South of Market	South of Market	SUPERVISORIAL DISTRICT 6	55-X	WMUG	WSOMA MIXED USE-GENERAL		(37.7812806808, -122.402698)
MIPS	APN 3508001	855 STEVENSON ST		07/21/2015	BP FILED	-1	2015-005689PRJ	Construction of a new sky-bridge connecting the two buildings at 1355 Market Street and 875 Stevenson Street.	201507212018	AN ELEVATED WALKWAY (SKYBRIDGE) CONNECTING 875 STEVENSON ST TO 1355 MARKET STREET AT THE 9TH FL OF BOTH BUILDING.	$2600000.00	OFFICE	0	0	0	0	0	0	430	430	0	0	0	0	0	0	0	0	05/06/2015	SRI Nine Market Square, LLC		4157727110	South of Market	Downtown	Downtown	SUPERVISORIAL DISTRICT 6	120-X	C-3-G	DOWNTOWN- GENERAL	LYEGAZU	(37.7768922646, -122.416368)
Resident	APN 0148022	859 VALLEJO ST		11/18/2015	PL FILED	0	2015-015210PRJ	Interior modifications to permit four (4) additional dwelling units on the first and second stories.  Per Ordinance 30-15.			$0.00		10	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11/18/2015	Shatara Architecture, Inc.		4155127566	Russian Hill		Northeast	SUPERVISORIAL DISTRICT 3	40-X	RM-2	RESIDENTIAL- MIXED, MODERATE DENSITY	ESAMONSK	(37.7980862788, -122.411305)
Resident	APN 7518081	868 DUNCAN ST		03/02/2015	BP FILED	0			201503029743	LEGALIZE 1ST FLOOR UNIT AS PER ORDINACE 43-14.	$700.00	2 FAMILY DWELLING	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	03/02/2015				Noe Valley		Central	SUPERVISORIAL DISTRICT 8	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY		(37.7456030202, -122.439232)
Resident	APN 4964019	870 INGERSON AV		05/23/2014	BP REINSTATED	-1			200407027962	ERECT 1 DWELLING UNIT OF 3 STORIES.	$350000.00	1 FAMILY DWELLING	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	07/02/2004				Bayview	Bayview Hunters Point	South Bayshore	SUPERVISORIAL DISTRICT 10	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY		(37.7179305658, -122.390406)
Resident	APN 4645017	870 INNES AV		09/26/2014	PL FILED	0	2014.1486	Change of use from warehouse to two-unit residential. New entries, windows, and exterior siding			$350000.00	APARTMENTS	2	2	0	0	0	0	0	0	0	-1672	0	0	0	0	0	0	09/26/2014				Bayview	India Basin Shoreline/Area C; Bayview Hunters Point	South Bayshore	SUPERVISORIAL DISTRICT 10	40-X	NC-2	NEIGHBORHOOD COMMERCIAL, SMALL SCALE		(37.7319682993, -122.375173)
Resident	APN 1672018	874 30TH AV		01/26/2009	BP ISSUED	-1			200711289065	(N) THIRD FLOOR VERTICAL ADDITION (2ND UNIT). RELOCATE GARAGE DOOR & ENTRANCE. EXPAND & RECONFIGURE	$300000.00	2 FAMILY DWELLING	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11/28/2007				Outer Richmond		Richmond	SUPERVISORIAL DISTRICT 1	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY		(37.7728327110, -122.489252)
Resident	APN 0256016	875 CALIFORNIA ST / 770 POWELL ST		03/09/2016	BP FILED	0	2014-000609PRJ	The project proposes to demolish a parking structure at 875 California and parking lot at 770 Powell Street and construct a 52,400 gsf residential building, with 15,150 gsf parking in the basement.	201603091627	"TO ERECT 8 STORIES, 1 BASEMENT, 44 UNITS RESIDENTIAL BUILDING.
** MAHER: N/A **"	$27000000.00	APARTMENTS	44	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/22/2014				Chinatown		Northeast	SUPERVISORIAL DISTRICT 3	65-A	RM-4	RESIDENTIAL- MIXED, HIGH DENSITY	KGUY	(37.7917833809, -122.408915)
MIPS	APN 3733079	875 HOWARD ST		06/23/2015	BP FILED	0	2015-009141PRJ		201506239701	GROUND FLOOR CONVERT ACCESSORY OFFICE TO GENERAL OFFICE.  2ND FLOOR - CONVERT 13,400 ST FROM INSTITU	$1.00	OFFICE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/23/2015				South of Market	Central SoMa; Downtown	South of Market	SUPERVISORIAL DISTRICT 6	130-F	C-3-S	DOWNTOWN SUPPORT		(37.7816809112, -122.404102)
Resident	APN 0303014	875 POST ST		07/20/2012	BP ISSUED	-1	2007.1056	9  new construction	200712311569	Vacant ground floor space to be converted to 4 dwelling units on existin builidng. Work to include remodel at 2nd floor manager's apt to raise floor for headroom below. Convert tourist hotel to sro residental hotel.	$300000.00	RESIDENTIAL HOTEL	50	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/31/2007				Downtown/Civic Center		Downtown	SUPERVISORIAL DISTRICT 6	80-T	RC-4	RESIDENTIAL- COMMERCIAL, HIGH DENSITY		(37.7870169285, -122.416171)
Mixres	APN 3953002	88 ARKANSAS ST		03/03/2016	PL APPROVED	-1	2015-000453PRJ	Priority Processing application for both Affordable Housing and LEED Platinum.  The proposed project at 88 Arkansas Street proposes to demolish two existing single-story buildings on separate lots in order to build a new five story 127-unit Type 1 reside	201511021443		$0.00	APARTMENTS	127	127	25	25	3275	3275	0	-2870	0	-9485	0	0	0	0	0	0	01/14/2015	Fifth Historic Properties, LLC/Mart	Julie Heinzler	415-348-4644	Potrero Hill	Showplace Square/Potrero Hill (EN)	South of Market	SUPERVISORIAL DISTRICT 10	48-X	UMU	URBAN MIXED USE	KCONNER	(37.7653561334, -122.399048)
Resident	APN 4991264	88 LE CONTE CR		08/01/2014	BP FILED	0			201408012759	REMODEL GROUND FLOOR, BUILD OUT REAR OF GROUND FLOOR TO A MULTI-UNIT ROOM/STUDIO WITH BATHROOM & 2ND	$42000.00	2 FAMILY DWELLING	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	08/01/2014				Bayview	Bayview Hunters Point	South Bayshore	SUPERVISORIAL DISTRICT 10	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY		(37.7178867133, -122.394730)
Resident	APN 5529012	88 MONTCALM ST		03/22/2016	CONSTRUCTION	-1			201405307105	TO ERECT 3 STORIES OF 1 FAMILY DWELLING	$675000.00	1 FAMILY DWELLING	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	05/30/2014				Bernal Heights		Bernal Heights	SUPERVISORIAL DISTRICT 9	40-X	RH-1	RESIDENTIAL- HOUSE, ONE FAMILY		(37.7468680160, -122.406528)
Resident	APN 0025024	888 NORTH POINT ST		02/11/2016	BP ISSUED	-1			201412163783	CONTRUCT (N) 4-STORY MIXED-USED BUILDING (COMMERCIAL & RESIDENTIAL)	$2500000.00	APARTMENTS	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12/16/2014				Russian Hill	Fisherman's Wharf; Northeast Waterfront	Northeast	SUPERVISORIAL DISTRICT 2	40-X	C-2	COMMUNITY BUSINESS		(37.8057454459, -122.421814)
Resident	APN 2646032	93 SATURN ST		06/01/2015	BP FILED	0			201506017714	LEGALIZES GUEST SUITE TO THIRD UNIT PER ORINANCE 43-14. ADD TWO DEDICATED APPLIANCE CIRUITS TO KITCH	$7500.00	APARTMENTS	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	06/01/2015				Castro/Upper Market		Buena Vista	SUPERVISORIAL DISTRICT 8	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY		(37.7624609642, -122.442874)
Mixres	APN 4060001	888 TENNESSEE ST		10/16/2013	PL APPROVED	-1	2013.0975	The proposed project is the demolition of an existing two-story building and construction of two four-story residential-over-retail building containing 110 dwelling units, 2,155 sq.ft. of retail use, and 10,073 sq.ft. of courtyard open space.  The projec			$28000000.00		110	110	0	0	3784	3784	0	0	0	-38520	0	0	0	0	0	0	12/03/2013	Andrew Junius	Andrew Junius	415 567 9000	Potrero Hill	Central Waterfront (EN)	South of Market	SUPERVISORIAL DISTRICT 10	45-X	UMU	URBAN MIXED USE	RSUCRE	(37.7607662664, -122.389985)
Resident	APN 2688072	89 BELGRAVE AV		03/31/2016	CONSTRUCTION	-1			201308235158	TO ERECT 3 STORY, 1 BASEMENT, SINGLE FAMILY DWELLING.	$0.00		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	08/23/2013	Lane McCauley	John  Cate	242-3330	Haight Ashbury		Central	SUPERVISORIAL DISTRICT 5	40-X	RH-1(D)	RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED	ASTARR	(37.7593611945, -122.449717)
Resident	APN 4097027	891 CAROLINA ST		02/11/2014	BP FILED	0			201402118267	CHANGE OF USE. CONVERT (E) SINGLE FAMILY HOUSE TO 2-UNIT RESIDENCE W/HORIZ & VERT ADDITION. REMODEL	$372000.00	2 FAMILY	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	02/11/2014				Potrero Hill	Showplace Square/Potrero Hill (EN)	South of Market	SUPERVISORIAL DISTRICT 10	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY		(37.7574514619, -122.399615)
Resident	APN 3621030	895 NOE ST		12/15/2015	CONSTRUCTION	-1			201501145767	REMODEL & ENLARGE BASEMENT TO CREATE NEW LIVING UNIT W/ KITCHEN & BATH. NEW DORMER AT TOP FLOOR	$155000.00	2 FAMILY DWELLING	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01/14/2015				Noe Valley		Central	SUPERVISORIAL DISTRICT 8	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY		(37.7549105401, -122.431871)
Resident	APN 4095018	896 DE HARO ST		05/28/2015	BP ISSUED	-1	2012.0978		201204249018	ERECT 4 STORIES, TYPE 5, 2 DWELLING UNITS BUILDING.	$700000.00	2 FAMILY DWELLING	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	04/24/2012				Potrero Hill	Showplace Square/Potrero Hill (EN)	South of Market	SUPERVISORIAL DISTRICT 10	40-X	RH-2	RESIDENTIAL- HOUSE, TWO FAMILY		(37.7583534723, -122.401259)
